Id,breadwinner_ns__Salesforce_Account__c
a98DI0000004u3CYAQ,0013i00002KrjlhAAB
a98DI0000004u3DYAQ,0013i00002Z5fD3AAJ
a98DI0000004u3EYAQ,0013i00002Z6NViAAN
a98DI0000004K4CYAU,0013i0000071vwPAAQ
a98DI0000004u3FYAQ,0013i00002RoT4mAAF
a98DI0000004jGZYAY,0013i00000TF2CyAAL
a98DI0000004jrUYAQ,0013i00000TF2CxAAL
a98DI0000004jrTYAQ,0013i00000TF2CwAAL
a98DI0000004jrSYAQ,0013i00000TF2CvAAL
a98DI0000004jrRYAQ,0013i00000TF2CuAAL
a98DI0000004u3GYAQ,0013i000030zC0MAAU
a98DI0000004flNYAQ,0013i00000TCVyrAAH
a98DI0000004dg2YAA,0013i00000TCTtQAAX
a98DI0000004jrQYAQ,0013i00000TF2CtAAL
a98DI0000004gkNYAQ,0013i00000TCXTnAAP
a98DI0000004df1YAA,0013i00000TCTtPAAX
a98DI0000004euYYAQ,0013i00000TCV9NAAX
a98DI0000004fsHYAQ,0013i00000TCWApAAP
a98DI0000004jrPYAQ,0013i00000TF2CsAAL
a98DI0000004u3HYAQ,0013i00002Z5retAAB
a98DI0000004u3IYAQ,0013i00002zr3YHAAY
a98DI0000004Uj8YAE,0013i0000071xbyAAA
a98DI0000004u3KYAQ,0013i00002Z6qWsAAJ
a98DI0000004tddYAA,0013i00002Z4439AAB
a98DI0000004jxYYAQ,0013i00000TF2CrAAL
a98DI0000004u3LYAQ,0013i00002Z6J8UAAV
a98DI0000004u3MYAQ,0013i00002KratxAAB
a98DI0000004QTBYA2,0013i0000071nrKAAQ
a98DI0000004u3NYAQ,0013i00002Z6jIUAAZ
a98DI0000004u3OYAQ,0013i00002RoMggAAF
a98DI0000004u3PYAQ,0013i00002Z47KIAAZ
a98DI0000004jxXYAQ,0013i00000TF2CqAAL
a98DI0000004jxWYAQ,0013i00000TF2CpAAL
a98DI0000004jxVYAQ,0013i00000TF2CoAAL
a98DI0000004u3QYAQ,0013i00002RqCGGAA3
a98DI0000004jGYYAY,0013i00000TF2CnAAL
a98DI0000004jGXYAY,0013i00000TF2CmAAL
a98DI0000004jxUYAQ,0013i00000TF2CjAAL
a98DI0000004jGVYAY,0013i00000TF2CkAAL
a98DI0000004jGWYAY,0013i00000TF2ClAAL
a98DI0000004u3RYAQ,0013i00002bzT76AAE
a98DI0000004EiPYAU,0013i0000071murAAA
a98DI0000004u3SYAQ,0013i00002RofGjAAJ
a98DI0000004u3TYAQ,0013i00002Rpj41AAB
a98DI0000004WJuYAM,0013i0000071pCjAAI
a98DI0000004tm1YAA,0013i00002RqAbVAAV
a98DI0000004J39YAE,0013i0000071nidAAA
a98DI0000004u3UYAQ,0013i00002RozheAAB
a98DI0000004M1WYAU,0013i0000071mUBAAY
a98DI0000004u3VYAQ,0013i00002Z5vBxAAJ
a98DI0000004u3WYAQ,0013i00002RoGDNAA3
a98DI0000004u3XYAQ,0013i00002bzGULAA2
a98DI0000004K64YAE,0013i0000071lomAAA
a98DI0000004u3YYAQ,0013i00002Z6rM2AAJ
a98DI0000004u3ZYAQ,0013i00002Rof38AAB
a98DI0000004tc3YAA,0013i00002Rob2FAAR
a98DI0000004u3aYAA,0013i00002RpdeTAAR
a98DI0000004u3bYAA,0013i000026C2ppAAC
a98DI0000004u3cYAA,0013i00002bzCWCAA2
a98DI0000004UFYYA2,0013i0000072Ne0AAE
a98DI0000004u3dYAA,0013i00002RoMLbAAN
a98DI0000004u3eYAA,0013i00002Z6hVOAAZ
a98DI0000004u3fYAA,0013i00002Z6fOEAAZ
a98DI0000004u3gYAA,0013i00002RobpfAAB
a98DI0000004jyOYAQ,0013i00000TF2CiAAL
a98DI0000004u3hYAA,0013i00002RpuQgAAJ
a98DI0000004u3iYAA,0013i00002Z5EDZAA3
a98DI0000004u3jYAA,0013i00002Z48SDAAZ
a98DI0000004Y3MYAU,0013i00002Z6uY7AAJ
a98DI0000004jxTYAQ,0013i00000TF2ChAAL
a98DI0000004u3kYAA,0013i00002RonKRAAZ
a98DI0000004jxSYAQ,0013i00000TF2CgAAL
a98DI0000004u3lYAA,0013i00002RpwZGAAZ
a98DI0000004u3mYAA,0013i00002RqLKBAA3
a98DI0000004KETYA2,0013i0000072O6pAAE
a98DI0000004u3nYAA,0013i00002Z71dfAAB
a98DI0000004u3oYAA,0013i00002RoO5xAAF
a98DI0000004YDOYA2,0013i0000071CbgAAE
a98DI0000004cOQYAY,0013i00000GoRJCAA3
a98DI0000004u3pYAA,0013i00002Z3zV4AAJ
a98DI0000004UUJYA2,0013i0000071xXXAAY
a98DI0000004u3qYAA,0013i00002wT92zAAC
a98DI0000004u3rYAA,0013i00002RoLEvAAN
a98DI0000004u3sYAA,0013i00002RqRrDAAV
a98DI0000004u3tYAA,0013i00002Z4is7AAB
a98DI0000004u3uYAA,0013i00002RoRESAA3
a98DI0000004u3vYAA,0013i00002bzGDBAA2
a98DI0000004u3wYAA,0013i00002Z4EWfAAN
a98DI0000004u3xYAA,0013i00002Z5KUXAA3
a98DI0000004WpQYAU,0013i00000D3wPqAAJ
a98DI0000004LKUYA2,0013i0000071lwtAAA
a98DI0000004UdMYAU,0013i0000071xYJAAY
a98DI0000004Im4YAE,0013i0000071xwOAAQ
a98DI0000004u3yYAA,0013i00002Rr8uOAAR
a98DI0000004GFpYAM,0013i0000071ww2AAA
a98DI0000004u3zYAA,0013i00002Z72gAAAR
a98DI0000004u40YAA,0013i00002Rod0LAAR
a98DI0000004u41YAA,0013i00002Z6j6QAAR
a98DI0000004u42YAA,0013i00002Z4jwCAAR
a98DI0000004u43YAA,0013i00002RqFIEAA3
a98DI0000004u44YAA,0013i00002KrlNcAAJ
a98DI0000004u45YAA,0013i0000297n77AAA
a98DI0000004u46YAA,0013i00002Krd8rAAB
a98DI0000004u47YAA,0013i00002Z48U4AAJ
a98DI0000004u48YAA,0013i00002Z4Jp3AAF
a98DI0000004WWEYA2,0013i00000D3gZPAAZ
a98DI0000004RPWYA2,0013i0000072O6UAAU
a98DI0000004u49YAA,0013i00002RoXWOAA3
a98DI0000004u4AYAQ,0013i00002RqT0tAAF
a98DI0000004u4BYAQ,0013i00002yXkWvAAK
a98DI0000004jyNYAQ,0013i00000TF2CfAAL
a98DI0000004FybYAE,0013i0000071nJTAAY
a98DI0000004WdtYAE,0013i00000D3d08AAB
a98DI0000004UhBYAU,0013i0000071oHdAAI
a98DI0000004tkBYAQ,0013i00002Z4IfjAAF
a98DI0000004EyoYAE,0013i0000071wkDAAQ
a98DI0000004u4CYAQ,0013i00002Kri9jAAB
a98DI0000004u4DYAQ,0013i00002RqKbRAAV
a98DI0000004JfwYAE,0013i0000071w9FAAQ
a98DI0000004U8gYAE,0013i000005B0FcAAK
a98DI0000004m2bYAA,0013i000005B0FcAAK
a98DI0000004JWVYA2,0013i0000071lo4AAA
a98DI0000004G7aYAE,0013i0000071nJpAAI
a98DI0000004u4EYAQ,0013i00002RocsaAAB
a98DI0000004u4FYAQ,0013i00002Z4LugAAF
a98DI0000004u4GYAQ,0013i00002RoPP9AAN
a98DI0000004u4HYAQ,0013i00002spWy6AAE
a98DI0000004u4IYAQ,0013i00002Z6p2FAAR
a98DI0000004u4JYAQ,0013i00002bzSF0AAM
a98DI0000004u4KYAQ,0013i00002Rp7BHAAZ
a98DI0000004u4LYAQ,0013i00002Z4CVjAAN
a98DI0000004u4MYAQ,0013i00002Z73LQAAZ
a98DI0000004u4NYAQ,0013i00002Z4KaZAAV
a98DI0000004u4OYAQ,0013i00002wVGxfAAG
a98DI0000004u4PYAQ,0013i00002Z6rn8AAB
a98DI0000004dHjYAI,0013i00000TCWtrAAH
a98DI0000004hJ6YAI,0013i00000TCY8gAAH
a98DI0000004e54YAA,0013i00000TCUI9AAP
a98DI0000004d6zYAA,0013i00000TCTfhAAH
a98DI0000004hg2YAA,0013i00000TCYWUAA5
a98DI0000004jxRYAQ,0013i00000TF2CeAAL
a98DI0000004ejKYAQ,0013i00000TCUxzAAH
a98DI0000004hEKYAY,0013i00000TCY8fAAH
a98DI0000004jyMYAQ,0013i00000TF2CdAAL
a98DI0000004jxQYAQ,0013i00000TF2CcAAL
a98DI0000004eHmYAI,0013i00000TCUWWAA5
a98DI0000004fbBYAQ,0013i00000TCVpAAAX
a98DI0000004dHhYAI,0013i00000TCWtqAAH
a98DI0000004jyLYAQ,0013i00000TF2CbAAL
a98DI0000004jyKYAQ,0013i00000TF2CaAAL
a98DI0000004eJ4YAI,0013i00000TCUg4AAH
a98DI0000004hHAYAY,0013i00000TCY56AAH
a98DI0000004hEJYAY,0013i00000TCY8dAAH
a98DI0000004hEIYAY,0013i00000TCY8cAAH
a98DI0000004hEHYAY,0013i00000TCY8bAAH
a98DI0000004jyJYAQ,0013i00000TF2CYAA1
a98DI0000004hFsYAI,0013i00000TCY8eAAH
a98DI0000004eNhYAI,0013i00000TCUg9AAH
a98DI0000004eNgYAI,0013i00000TCUg8AAH
a98DI0000004eNfYAI,0013i00000TCUg5AAH
a98DI0000004hEGYAY,0013i00000TCY8ZAAX
a98DI0000004hEFYAY,0013i00000TCY8YAAX
a98DI0000004hJ5YAI,0013i00000TCY8aAAH
a98DI0000004fR7YAI,0013i00000TCVjaAAH
a98DI0000004eyOYAQ,0013i00000TCVDcAAP
a98DI0000004jxPYAQ,0013i00000TF2CZAA1
a98DI0000004gBAYAY,0013i00000TCWONAA5
a98DI0000004gB9YAI,0013i00000TCWOMAA5
a98DI0000004g8zYAA,0013i00000TCXIFAA5
a98DI0000004g8yYAA,0013i00000TCXIEAA5
a98DI0000004eJ6YAI,0013i00000TCUg7AAH
a98DI0000004eJ5YAI,0013i00000TCUg6AAH
a98DI0000004dCfYAI,0013i00000TCWtoAAH
a98DI0000004ff4YAA,0013i00000TCVuMAAX
a98DI0000004efSYAQ,0013i00000TCUt6AAH
a98DI0000004efRYAQ,0013i00000TCUt5AAH
a98DI0000004doJYAQ,0013i00000TCU1LAAX
a98DI0000004dwdYAA,0013i00000TCUBYAA5
a98DI0000004df0YAA,0013i00000TCTtOAAX
a98DI0000004d7LYAQ,0013i00000TCThdAAH
a98DI0000004juhYAA,0013i00000TF2CXAA1
a98DI0000004u4QYAQ,0013i00002Z6yYgAAJ
a98DI0000004dHgYAI,0013i00000TCWtpAAH
a98DI0000004d6yYAA,0013i00000TCTfgAAH
a98DI0000004K1dYAE,0013i0000071m40AAA
a98DI0000004jugYAA,0013i00000TF2CWAA1
a98DI0000004JitYAE,0013i0000071wL5AAI
a98DI0000004dfEYAQ,0013i00000TCUA3AAP
a98DI0000004eHlYAI,0013i00000TCUWVAA5
a98DI0000004dezYAA,0013i00000TCTtNAAX
a98DI0000004jufYAA,0013i00000TF2CVAA1
a98DI0000004jueYAA,0013i00000TF2CUAA1
a98DI0000004hg1YAA,0013i00000TCYWTAA5
a98DI0000004u4RYAQ,0013i00002RqPD0AAN
a98DI0000004K2dYAE,0013i0000071w4FAAQ
a98DI0000004u4SYAQ,0013i00002RokwYAAR
a98DI0000004L0oYAE,0013i0000071maWAAQ
a98DI0000004eJ2YAI,0013i00000TCUg2AAH
a98DI0000004dq3YAA,0013i00000TCU3kAAH
a98DI0000004gpuYAA,0013i00000TCXaeAAH
a98DI0000004gopYAA,0013i00000TCXZBAA5
a98DI0000004ehuYAA,0013i00000TCV2pAAH
a98DI0000004gieYAA,0013i00000TCXYqAAP
a98DI0000004gaQYAQ,0013i00000TCXNzAAP
a98DI0000004gKLYAY,0013i00000TCXMAAA5
a98DI0000004gYLYAY,0013i00000TCXKHAA5
a98DI0000004u4TYAQ,0013i00002RpD6NAAV
a98DI0000004gVQYAY,0013i00000TCXIDAA5
a98DI0000004jucYAA,0013i00000TF2CSAA1
a98DI0000004judYAA,0013i00000TF2CTAA1
a98DI0000004jubYAA,0013i00000TF2CRAA1
a98DI0000004juaYAA,0013i00000TF2CQAA1
a98DI0000004u4UYAQ,0013i00002Z5WTPAA3
a98DI0000004juZYAQ,0013i00000TF2CPAA1
a98DI0000004juYYAQ,0013i00000TF2COAA1
a98DI0000004juXYAQ,0013i00000TF2CNAA1
a98DI0000004jxOYAQ,0013i00000TF2CLAA1
a98DI0000004jxLYAQ,0013i00000TF2CHAA1
a98DI0000004eOhYAI,0013i00000TCUcPAAX
a98DI0000004g52YAA,0013i00000TCWKdAAP
a98DI0000004juVYAQ,0013i00000TF2CKAA1
a98DI0000004gxNYAQ,0013i00000TCXzxAAH
a98DI0000004jxNYAQ,0013i00000TF2CJAA1
a98DI0000004jxMYAQ,0013i00000TF2CIAA1
a98DI0000004KjMYAU,0013i0000071uTpAAI
a98DI0000004jxKYAQ,0013i00000TF2CGAA1
a98DI0000004jxJYAQ,0013i00000TF2CFAA1
a98DI0000004eGnYAI,0013i00000TCUUjAAP
a98DI0000004u4VYAQ,0013i00002z8gEYAAY
a98DI0000004JzxYAE,0013i0000071mE7AAI
a98DI0000004hEEYAY,0013i00000TCY8XAAX
a98DI0000004hX6YAI,0013i00000TCYKlAAP
a98DI0000004gA7YAI,0013i00000TCWOLAA5
a98DI0000004g60YAA,0013i00000TCWMjAAP
a98DI0000004fwGYAQ,0013i00000TCWCJAA5
a98DI0000004juUYAQ,0013i00000TF2CEAA1
a98DI0000004fEuYAI,0013i00000TCVTLAA5
a98DI0000004u4WYAQ,0013i00002Z6trLAAR
a98DI0000004deyYAA,0013i00000TCTtMAAX
a98DI0000004juTYAQ,0013i00000TF2CDAA1
a98DI0000004gPOYAY,0013i00000TCX9HAAX
a98DI0000004juSYAQ,0013i00000TF2CCAA1
a98DI0000004drIYAQ,0013i00000TCU5UAAX
a98DI0000004hRIYAY,0013i00000TCYFFAA5
a98DI0000004gKMYAY,0013i00000TCXMBAA5
a98DI0000004dK2YAI,0013i00000TCWyuAAH
a98DI0000004RYVYA2,0013i0000071o0ZAAQ
a98DI0000004WMUYA2,0013i0000071ovRAAQ
a98DI0000004McVYAU,0013i000008oBjSAAU
a98DI0000004MDuYAM,0013i000003QMLeAAO
a98DI0000004scrYAA,0013i000003QMLeAAO
a98DI0000004u4XYAQ,0013i00002RpnAdAAJ
a98DI0000004jxIYAQ,0013i00000TF2CBAA1
a98DI0000004u4YYAQ,0013i00002RoEe3AAF
a98DI0000004u4ZYAQ,0013i00002Z79ZJAAZ
a98DI0000004u4aYAA,0013i00002RoJAkAAN
a98DI0000004juRYAQ,0013i00000TF2CAAA1
a98DI0000004juQYAQ,0013i00000TF2C9AAL
a98DI0000004juPYAQ,0013i00000TF2C8AAL
a98DI0000004XuvYAE,0013i0000072Nx7AAE
a98DI0000004YUvYAM,0013i00000Gnd8hAAB
a98DI0000004u4bYAA,0013i00002yYUfPAAW
a98DI0000004f5sYAA,0013i00000TCVJkAAP
a98DI0000004juOYAQ,0013i00000TF2C7AAL
a98DI0000004jxHYAQ,0013i00000TF2C6AAL
a98DI0000004Wp0YAE,0013i00000D3abOAAR
a98DI0000004u4cYAA,0013i00002RqNZeAAN
a98DI0000004u4dYAA,0013i00002hAsruAAC
a98DI0000004u3JYAQ,0013i00002RorTuAAJ
a98DI0000004tgXYAQ,0013i00002RobkFAAR
a98DI0000004u4fYAA,0013i00002Z731jAAB
a98DI0000004ZNGYA2,0013i00001kM4aIAAS
a98DI0000004juNYAQ,0013i00000TF2C5AAL
a98DI0000004u4gYAA,0013i00002jsdotAAA
a98DI0000004u4hYAA,0013i00002Z6hv8AAB
a98DI0000004ZD1YAM,0013i00000D3ZeuAAF
a98DI0000004u4iYAA,0013i00002jwUDeAAM
a98DI0000004dFTYAY,0013i00000TCX1PAAX
a98DI0000004fXfYAI,0013i00000TCVmEAAX
a98DI0000004ebMYAQ,0013i00000TCUqRAAX
a98DI0000004h06YAA,0013i00000TCXmjAAH
a98DI0000004u4jYAA,0013i00002RoeH8AAJ
a98DI0000004G7nYAE,0013i0000071nJrAAI
a98DI0000004u4kYAA,0013i00002Z4wS5AAJ
a98DI0000004u4lYAA,0013i00002RpUcrAAF
a98DI0000004Zf8YAE,0013i00001zuOEmAAM
a98DI0000004u4mYAA,0013i000023ugR7AAI
a98DI0000004u4nYAA,0013i00002RoOAGAA3
a98DI0000004u4oYAA,0013i00002vPUPqAAO
a98DI0000004u4pYAA,0013i00002Z6vuFAAR
a98DI0000004u4qYAA,0013i0000269jgDAAQ
a98DI0000004u4rYAA,0013i00002Z6fssAAB
a98DI0000004juMYAQ,0013i00000TF2C4AAL
a98DI0000004hjeYAA,0013i00000TCbICAA1
a98DI0000004kyVYAQ,0013i00000TF3EnAAL
a98DI0000004jxGYAQ,0013i00000TF2C3AAL
a98DI0000004juLYAQ,0013i00000TF2C2AAL
a98DI0000004juKYAQ,0013i00000TF2C1AAL
a98DI0000004juJYAQ,0013i00000TF2C0AAL
a98DI0000004hdTYAQ,0013i00000TD0HgAAL
a98DI0000004u4sYAA,0013i00002Z6jJGAAZ
a98DI0000004jxFYAQ,0013i00000TF2BzAAL
a98DI0000004Hr6YAE,0013i0000072OAIAA2
a98DI0000004u4tYAA,0013i00002RqBctAAF
a98DI0000004fMJYAY,0013i00000TCVayAAH
a98DI0000004eNeYAI,0013i00000TCUg1AAH
a98DI0000004gUeYAI,0013i00000TCXEyAAP
a98DI0000004eJ1YAI,0013i00000TCUg0AAH
a98DI0000004ecOYAQ,0013i00000TCUxyAAH
a98DI0000004zPVYAY,0013i00000D3g0AAAR
a98DI0000004VvhYAE,0013i0000071mVFAAY
a98DI0000004u4uYAA,0013i00002RpKhJAAV
a98DI0000004u4vYAA,0013i00002bzIPCAA2
a98DI0000004ZGAYA2,0013i00000ZCp9WAAT
a98DI0000004u4wYAA,0013i00002RouGuAAJ
a98DI0000004u4xYAA,0013i00002hAtLNAA0
a98DI0000004u4yYAA,0013i00002RpunyAAB
a98DI0000004u4zYAA,0013i000030zUFlAAM
a98DI0000004u50YAA,0013i00002RokR3AAJ
a98DI0000004u51YAA,0013i00002Z4hNVAAZ
a98DI0000004u52YAA,0013i00002RoKJgAAN
a98DI0000004u53YAA,0013i00002RoIRnAAN
a98DI0000004u54YAA,0013i00002Z6tzZAAR
a98DI0000004u55YAA,0013i00002Z6JDYAA3
a98DI0000004GHJYA2,0013i0000071ww5AAA
a98DI0000004u56YAA,0013i00002Rpy9dAAB
a98DI0000004u57YAA,0013i00002RqMzuAAF
a98DI0000004f2TYAQ,0013i00000TCVQkAAP
a98DI0000004dCeYAI,0013i00000TCWtnAAH
a98DI0000004jxEYAQ,0013i00000TF2ByAAL
a98DI0000004juIYAQ,0013i00000TF2BxAAL
a98DI0000004dTVYAY,0013i00000TCTp5AAH
a98DI0000004Z9PYAU,0013i000011PPq2AAG
a98DI0000004KInYAM,0013i0000071w5wAAA
a98DI0000004eHkYAI,0013i00000TCUWUAA5
a98DI0000004Lj9YAE,0013i0000071lepAAA
a98DI0000004ZORYA2,0013i000011Ox27AAC
a98DI0000004juHYAQ,0013i00000TF2BwAAL
a98DI0000004fXeYAI,0013i00000TCVmDAAX
a98DI0000004dhbYAA,0013i00000TCTusAAH
a98DI0000004u58YAA,0013i00002RohTcAAJ
a98DI0000004u59YAA,0013i00002RpOUlAAN
a98DI0000004jxDYAQ,0013i00000TF2BuAAL
a98DI0000004hbRYAQ,0013i00000TCYRmAAP
a98DI0000004jw1YAA,0013i00000TF2BtAAL
a98DI0000004jxCYAQ,0013i00000TF2BsAAL
a98DI0000004jw0YAA,0013i00000TF2BrAAL
a98DI0000004hIOYAY,0013i00000TCY6ZAAX
a98DI0000004jvzYAA,0013i00000TF2BqAAL
a98DI0000004gWjYAI,0013i00000TCXICAA5
a98DI0000004jtSYAQ,0013i00000TF2BpAAL
a98DI0000004hTTYAY,0013i00000TCYHoAAP
a98DI0000004u5AYAQ,0013i00002Z4395AAB
a98DI0000004u5BYAQ,0013i00002RoLL3AAN
a98DI0000004fqFYAQ,0013i00000TCW5tAAH
a98DI0000004jtRYAQ,0013i00000TF2BoAAL
a98DI0000004Z3rYAE,0013i00000mkfsbAAA
a98DI0000004fNYYAY,0013i00000TCVcmAAH
a98DI0000004u5CYAQ,0013i00002ISlipAAD
a98DI0000004ecMYAQ,0013i00000TCUxxAAH
a98DI0000004jvxYAA,0013i00000TF2BnAAL
a98DI0000004jtPYAQ,0013i00000TF2BmAAL
a98DI0000004eZVYAY,0013i00000TCUv8AAH
a98DI0000004u5DYAQ,0013i00002RobDCAAZ
a98DI0000004jtQYAQ,0013i00000TF2BkAAL
a98DI0000004VBwYAM,0013i000003QMLOAA4
a98DI0000004jvwYAA,0013i00000TF2BjAAL
a98DI0000004u5EYAQ,0013i00002Z6k1CAAR
a98DI0000004jGUYAY,0013i00000TF2BiAAL
a98DI0000004u5FYAQ,0013i00002Zqy4FAAR
a98DI0000004YtjYAE,0013i00000TCbD7AAL
a98DI0000004u5GYAQ,0013i00002xvKEKAA2
a98DI0000004GZPYA2,0013i0000072NcdAAE
a98DI0000004u5HYAQ,0013i00002RotY9AAJ
a98DI0000004u5IYAQ,0013i00002KqKJVAA3
a98DI0000004u5JYAQ,0013i00002Z5WjHAAV
a98DI0000004u5KYAQ,0013i00002RoPTnAAN
a98DI0000004u5LYAQ,0013i00002Z71KyAAJ
a98DI0000004u5MYAQ,0013i00002RodGaAAJ
a98DI0000004u5NYAQ,0013i00002Z76BXAAZ
a98DI0000004u5OYAQ,0013i00002KrWKQAA3
a98DI0000004tkCYAQ,0013i00002Z4YMvAAN
a98DI0000004u5PYAQ,0013i00002RodXOAAZ
a98DI0000004u5QYAQ,0013i00002RqJKWAA3
a98DI0000004jvvYAA,0013i00000TF2BhAAL
a98DI0000004L2MYAU,0013i0000071wayAAA
a98DI0000004u5RYAQ,0013i00002RoYitAAF
