Id,ContractNumber,Active_ARCV__c,ARCV__c,Net_Total__c,StartDate,EndDate,Status,Name
800Do0000009WoaIAE,7093764,4365.92,4365.92,4365.92,2023-05-17,2024-05-16,Draft,(2024-05-16)  Asakura Robinson Company
800Do0000009WouIAE,7093766,4062,4062,4062,2023-05-15,2024-05-14,Draft,"(2024-05-14)  Commonstreet Consulting, LLC"
800Do0000009Wq7IAE,7093768,2450.01,2450.01,2450.01,2023-05-24,2024-05-23,Pending,(2024-05-23)  GLOBAL INTEGRATED TECHNOLOGIES
800Do0000009WqCIAU,7093769,123,492,123,2023-03-01,2023-05-31,Activated,(2023-05-31)  J E DUNN CONSTRUCTION
800Do0000009WqRIAU,7093771,49115,49115,98230,2023-04-01,2025-03-31,Activated,(2025-03-31)  Marcus & Millichap
800Do0000009Wr0IAE,7093774,3736.64,3736.64,3736.64,2023-05-26,2024-05-25,Pending,(2024-05-25)  The Carpet Guys
800Do0000009WrPIAU,7093777,3024,3024,3024,2023-05-24,2024-05-23,Activated,(2024-05-23)  Francis Fine Finishes
800Do0000009WroIAE,7093781,3200,3200,3200,2023-05-23,2024-05-22,Pending,(2024-05-22)  Diggers LLC
800Do0000009WrAIAU,7093775,2459.99,2459.99,2459.99,2023-05-23,2024-05-22,Pending,(2024-05-22)  Alexander Integrated Technology
800Do0000009WrZIAU,7093778,123,492,123,2023-04-05,2023-07-04,Activated,(2023-07-04)  KIEWIT INFRASTRUCTURE CO.
800Do0000009WryIAE,7093783,4800,4800,4800,2023-05-24,2024-05-23,Pending,(2024-05-23)  Statewide Specialties
800Do0000009WrtIAE,7093782,2400,2400,2400,2023-05-26,2024-05-25,Pending,(2024-05-25)  Hunter Mechanical and Controls
800Do0000009WsIIAU,7093787,771.48,771.48,771.48,2023-05-23,2024-05-22,Activated,(2024-05-22)  LITTLE PIPING & MECHANICAL
800Do0000009WsNIAU,7093788,24863.77,24863.77,24863.77,2023-05-25,2024-05-24,Activated,(2024-05-24)  Onsite IQ CORP HQ
800Do0000009WshIAE,7093792,5885,5885,5885,2023-02-06,2024-02-05,Activated,(2024-02-05)  Girder-Slab Technologies LLC
800Do0000009WsrIAE,7093794,1836,1836,1836,2023-05-30,2024-05-29,Activated,"(2024-05-29)  DiMiceli Construction Services, Inc."
800Do0000009WtGIAU,7093796,123,492,123,2023-03-01,2023-05-31,Activated,(2023-05-31)  PALACE CONSTRUCTION CO INC
800Do0000009WtQIAU,7093798,1845,1845,1845,2023-05-23,2024-05-22,Pending,(2024-05-22)  Essebag Electric
800Do0000009WtVIAU,7093799,13332.6,13332.6,13332.6,2023-05-24,2024-05-23,Activated,"(2024-05-23)  A G Vinyl Fencing, Inc."
800Do0000009WtuIAE,7093803,1925.99,1925.99,1925.99,2023-05-16,2024-05-15,Activated,(2024-05-15)  B & A Concrete LLC
800Do0000009WtzIAE,7093804,2147,2147,2147,2023-05-23,2024-05-22,Pending,(2024-05-22)  Mongkol Commercial Cleaning
800Do0000009Ws9IAE,7093805,1439.99,1439.99,1439.99,2023-05-25,2024-05-24,Activated,(2024-05-24)  Plainfield Remodeling And Design
800Do0000009Wu4IAE,7093806,1498.07,1498.07,1498.07,2023-05-26,2024-05-25,Activated,(2024-05-25)  Cove Creek Construction
800Do0000009Wu9IAE,7093807,5484,5484,5484,2023-05-23,2024-05-22,Activated,(2024-05-22)  River City Creative Glass
800Do0000009WuEIAU,7093808,3024,3024,3024,2023-05-24,2024-05-23,Activated,(2024-05-23)  Aero Elevator
800Do0000009WudIAE,7093810,2400,2400,2400,2023-05-25,2024-05-24,Activated,"(2024-05-24)  Masonry Builders, Inc."
800Do0000009Wv2IAE,7093813,1824,1824,1824,2023-05-24,2024-05-23,Activated,(2024-05-23)  Custom Drywall & Painting LLC
800Do0000009WuiIAE,7093811,11041.62,11041.62,11041.62,2023-05-24,2024-05-23,Pending,"(2024-05-23)  HIRE QUEST, LLC"
800Do0000009WunIAE,7093812,7800,7800,7800,2023-05-24,2024-05-23,Pending,(2024-05-23)  Highrise IP
800Do0000009Wv7IAE,7093814,3504,3504,3504,2023-05-23,2024-05-22,Pending,(2024-05-22)  Ferreira Construction
800Do0000009WvHIAU,7093816,2134.64,2134.64,2134.64,2023-05-18,2024-05-17,Activated,"(2024-05-17)  J&L Construction, LLC"
800Do0000009WvWIAU,7093818,129862.2,129862.2,129862.2,2023-04-02,2024-04-01,Activated,(2024-04-01)  Westlake Royal Building Products (Formerly Boral Stone Inc)
800Do0000009WvlIAE,7093820,1200.01,1200.01,1200.01,2023-05-01,2024-04-30,Activated,(2024-04-30)  Chris Catanzaro Plumbing & Heating
800Do000000xFHGIA2,7046936,12360.6,12582.83,25165.65,2021-09-01,2023-08-31,Activated,(2023-08-31)  Omega Industries
800Do0000009WwFIAU,7093824,3024,3024,3024,2023-05-31,2024-05-30,Activated,(2024-05-30)  New Dynamic Builders Corp
800Do0000009WwKIAU,7093825,10584,10584,10584,2023-05-24,2024-05-23,Pending,(2024-05-23)  Delta T Mechanical
800Do000000x8R0IAI,7020717,4069.32,4069.32,4069.32,2022-12-29,2023-12-28,Draft,(2023-12-28)  Confluence (MO)
800Do0000009WwUIAU,7093827,8058,8058,8058,2023-05-18,2024-05-17,Activated,"(2024-05-17)  Klosterman Associates, Inc."
800Do000000x8UGIAY,7020919,2867.93,2867.93,2867.93,2022-12-15,2023-12-14,Draft,"(2023-12-14)  Lee Engineering, LLC (TX)"
800Do0000009WwjIAE,7093830,2208.33,26499.96,2208.33,2023-05-23,2023-06-22,Activated,(2023-06-22)  SOUTHWIRE COMPANY
800Do0000009WwtIAE,7093831,123,492,123,2023-03-01,2023-05-31,Activated,(2023-05-31)  W E O'NEILL CONSTRUCTION CO
800Do0000009Wx3IAE,7093833,21902.9,21902.9,21902.9,2023-04-01,2024-03-31,Activated,(2024-03-31)  PADDOCK POOL EQUIPMENT CO
800Do0000009WxDIAU,7093835,10494.82,10494.82,10494.82,2023-05-15,2024-05-14,Draft,"(2024-05-14)  HKS Architects, Inc."
800Do0000009WxSIAU,7093837,1764,1764,1764,2023-05-15,2024-05-14,Draft,"(2024-05-14)  Alday-Howell Engineering, Inc. (AHE)"
800Do0000009WxXIAU,7093838,2325,2325,2325,2023-05-15,2024-05-14,Draft,(2024-05-14)  Brokaw Design
800Do0000009WxmIAE,7093839,15307.42,15307.42,15307.42,2023-05-09,2024-05-08,Activated,(2024-05-08)  WEST FAIR ELECT CONTS INC
800Do0000009Wy6IAE,7093842,10761.95,10761.95,10761.95,2023-05-15,2024-05-14,Draft,(2024-05-14)  GULF SEABOARD GEN CONTR
800Do0000009WyBIAU,7093843,10302.15,10302.15,10302.15,2023-05-16,2024-05-15,Activated,(2024-05-15)  Miracle Playsystems
800Do0000009WyLIAU,7093845,2140,2140,2140,2023-05-24,2024-05-23,Activated,(2024-05-23)  M5 Construction & Management Inc.
800Do0000009X2JIAU,7093851,2461,2461,2461,2023-05-17,2024-05-16,Activated,(2024-05-16)  TAYLOR KOHRS LLC
800Do0000009X32IAE,7093856,123,492,123,2023-05-03,2023-08-02,Activated,"(2023-08-02)  ABCO Contracting Company, Inc"
800Do0000009X3RIAU,7093860,5245.8,5245.8,5245.8,2023-05-15,2024-05-14,Activated,(2024-05-14)  RAD-TON INC
800Do0000009X40IAE,7093865,123,492,123,2023-05-03,2023-08-02,Activated,(2023-08-02)  AMERICAN CIVIL CONSTRUCTORS
800Do0000009X6LIAU,7093871,2325,2325,2325,2023-05-15,2024-05-14,Draft,"(2024-05-14)  Edminster, Hinshaw, Russ and Associates, Inc. (EHRA)"
800Do0000009X6VIAU,7093872,3799,3799,3799,2023-05-15,2024-05-14,Draft,"(2024-05-14)  MARRS Services, Inc."
800Do0000009X6fIAE,7093873,8902.05,8902.05,8902.05,2023-05-15,2024-05-14,Draft,"(2024-05-14)  Kearns & West, Inc."
800Do0000009X6pIAE,7093874,2892,2892,2892,2023-05-15,2024-05-14,Draft,(2024-05-14)  Erickson-Hall Construction Company
800Do0000009X74IAE,7093876,2325,2325,2325,2023-05-06,2024-05-05,Draft,(2024-05-05)  Nacht & Lewis Architects (NLA)
800Do0000009X6uIAE,7093875,5160,5160,5160,2023-05-15,2024-05-14,Draft,"(2024-05-14)  Jones & DeMille Engineering, Inc."
800Do0000009X79IAE,7093877,5087,5087,5087,2023-05-03,2024-05-02,Draft,"(2024-05-02)  ATCS, P.L.C."
800Do0000009X8RIAU,7093883,123,492,123,2023-04-05,2023-07-04,Activated,(2023-07-04)  KELLEY TRUCKING
800Do0000009X8lIAE,7093885,7176.52,7176.52,7176.52,2023-05-13,2024-05-12,Activated,"(2024-05-12)  First Fire Systems, Inc."
800Do0000009X8qIAE,7093886,123,492,123,2023-04-05,2023-07-04,Activated,"(2023-07-04)  KRAEMER NORTH AMERICA, LLC"
800Do0000009X9KIAU,7093888,5253.57,5253.57,5253.57,2023-05-15,2024-05-14,Activated,(2024-05-14)  United Insurance Bradish Young Agency
800Do0000009XJqIAM,7093892,2764,2764,2764,2023-05-26,2024-05-25,Pending,(2024-05-25)  T&L Construction
800Do0000009XKFIA2,7093897,2608.99,2608.99,2608.99,2023-05-26,2024-05-25,Activated,(2024-05-25)  Grindkings Flooring
800Do0000009XKKIA2,7093898,3024,3024,3024,2023-05-26,2024-05-25,Activated,(2024-05-25)  Fatianow Brothers Fabrication
800Do0000009XKPIA2,7093899,1787.6,1787.6,1787.6,2023-05-26,2024-05-25,Pending,(2024-05-25)  NMC Contracting Group
800Do0000009XKZIA2,7093901,2764.72,2764.72,2764.72,2023-05-25,2024-05-24,Activated,(2024-05-24)  Surface Specialist LLC
800Do0000009XKoIAM,7093903,4800,4800,4800,2023-05-26,2024-05-25,Pending,(2024-05-25)  Perfect Touch Contracting LLC
800Do0000009XLDIA2,7093908,1836,1836,1836,2023-05-31,2024-05-30,Activated,(2024-05-30)  Brown Boys LLC
800Do0000009XL3IAM,7093906,15309.6,15309.6,15309.6,2023-05-31,2024-05-30,Pending,(2024-05-30)  Jabo Supply Corp
800Do0000009XMGIA2,7093921,4350,4350,4350,2023-05-26,2024-05-25,Pending,"(2024-05-25)  R. H. Moore & Associates, Inc."
800Do0000009XLXIA2,7093912,123,492,123,2023-04-05,2023-07-04,Activated,(2023-07-04)  MURPHY CO
800Do0000009XLhIAM,7093914,5939.4,5939.4,5939.4,2023-05-01,2024-04-30,Activated,"(2024-04-30)  Great Floors, Inc."
800Do0000009XLmIAM,7093915,1645,1645,1645,2023-05-26,2024-05-25,Pending,(2024-05-25)  Torres Total Flooring
800Do0000009XM1IAM,7093918,1978.2,1978.2,1978.2,2023-05-26,2024-05-25,Pending,"(2024-05-25)  CasTech Products, Inc."
800Do0000009XMBIA2,7093920,15039,15039,15039,2023-05-31,2024-05-30,Activated,"(2024-05-30)  Tri-North Builders, Inc."
800Do0000009XMQIA2,7093923,2700,2700,2700,2023-05-31,2024-05-30,Activated,(2024-05-30)  Beantown Restorations LLC
800Do0000009XMaIAM,7093924,123,492,123,2023-04-05,2023-07-04,Activated,(2023-07-04)  PCL CONSTRUCTION SERVS INC
800Do000000xLoAIAU,7071882,17092,31817.62,95452.86,2021-11-01,2024-10-31,Activated,(2024-10-31)  KWIK-WALL Company
800Do000000x8t6IAA,7022459,2496.03,2496.03,2496.03,2022-12-29,2023-12-28,Draft,(2023-12-28)  The Solis Group (TSG)
800Do000000x8qiIAA,7022311,7588.15,7588.15,7588.15,2022-11-29,2023-11-28,Draft,(2023-11-28)  Walter P. Moore
800Do0000009XNnIAM,7093929,123,492,123,2023-04-05,2023-07-04,Activated,(2023-07-04)  RE MONKS CONST-COLORADO
800Do0000009XOCIA2,7093933,123,492,123,2023-04-05,2023-07-04,Activated,"(2023-07-04)  Rice Lake West, Inc."
800Do0000009XOvIAM,7093936,123,492,123,2023-04-05,2023-07-04,Activated,(2023-07-04)  SEMA CONSTRUCTION INC
800Do000000x9seIAA,7026187,17170.52,16874.94,33749.87,2021-08-01,2023-07-31,Activated,(2023-07-31)  Metro Green Recycling
800Do000000xMH7IAM,7073673,12942,13342,20013,2023-02-01,2024-07-31,Activated,(2024-07-31)  Pro Temp of Illinois Inc.
800Do000000xfwkIAA,7090622,985.3,985.3,985.3,2023-03-27,2024-03-26,Activated,"(2024-03-26)  Michael Stevens Roofing & Siding, Inc."
800Do000000xPgbIAE,7086469,2842.03,5422.03,5422.03,2023-02-23,2024-02-22,Activated,(2024-02-22)  PCS Energy
800Do000000xFFJIA2,7046815,5451.33,4599.4,9198.79,2021-09-01,2023-08-31,Activated,(2023-08-31)  Absolute Concrete LLC
800Do0000009XQXIA2,7093948,1836,1836,1836,2023-05-30,2024-05-29,Activated,"(2024-05-29)  StoneCrete, Inc."
800Do0000009XQcIAM,7093949,5484,5484,5484,2023-05-31,2024-05-30,Pending,"(2024-05-30)  NY United A-1 Construction, Inc."
800Do0000009XQrIAM,7093952,3024,3024,3024,2023-05-31,2024-05-30,Activated,(2024-05-30)  Tek Demo
800Do0000009XR1IAM,7093954,6874.99,6874.99,6874.99,2023-05-26,2024-05-25,Pending,"(2024-05-25)  General Construction of Orlando, Inc."
800Do0000009XQhIAM,7093950,3096,3096,3096,2023-05-31,2024-05-30,Activated,(2024-05-30)  Atlantic Contracting
800Do0000009XQwIAM,7093953,1653.75,1653.75,1653.75,2023-03-25,2024-03-24,Pending,(2024-03-24)  MANN PLUMBING AND HEATING
800Do0000009XRGIA2,7093955,2400,2400,2400,2023-05-31,2024-05-30,Activated,(2024-05-30)  Sima Excavating & Landscaping
800Do000000xPIBIA2,7085257,5484,5484,10511,2023-02-01,2024-12-31,Activated,(2024-12-31)  Soto Construction LLC
800Do000000tGuTIAU,7091608,1836,1836,1836,2023-04-25,2024-04-24,Activated,(2024-04-24)  CF Flooring LLC
800Do000000xIlBIAU,7060168,1799.32,1799.32,1799.32,2023-01-01,2023-12-31,Activated,(2023-12-31)  John Mancini Electric INC
800Do0000009XSTIA2,7093969,3450,3450,3450,2023-05-26,2024-05-25,Pending,(2024-05-25)  B&T Tested LLC
800Do0000009XVwIAM,7093972,2800,2800,2800,2023-05-30,2024-05-29,Pending,(2024-05-29)  Demolition Plus
800Do0000009XW6IAM,7093974,6398.02,6398.02,6398.02,2023-05-31,2024-05-30,Activated,(2024-05-30)  IMF
800Do0000009XWGIA2,7093976,3024,3024,3024,2023-05-30,2024-05-29,Activated,(2024-05-29)  Splash It LLC
800Do0000009XWLIA2,7093977,2176.8,2176.8,2176.8,2023-05-30,2024-05-29,Pending,(2024-05-29)  DESIGN-BUILD CONSTRUCTORS LLC
800Do0000009XWVIA2,7093979,4200,4200,4200,2023-05-30,2024-05-29,Pending,(2024-05-29)  Oasis Constructions
800Do0000009XWaIAM,7093980,2324.99,2324.99,4649.98,2023-05-30,2025-05-29,Pending,(2025-05-29)  J Palmer Group Inc
800Do0000009XWkIAM,7093982,7545.99,7545.99,7545.99,2023-05-30,2024-05-29,Pending,(2024-05-29)  Precise
800Do0000009XWpIAM,7093983,3024,3024,3024,2023-05-30,2024-05-29,Pending,"(2024-05-29)  Heritage Industries, Inc."
800Do000000tX89IAE,7093471,2917.56,2917.56,2917.56,2023-05-15,2024-05-14,Activated,(2024-05-14)  Inselberg Construction LLC
800Do000000xOvGIAU,7083849,1177.5,2623.88,7871.64,2021-09-01,2024-08-31,Activated,(2024-08-31)  FARRELL CALHOUN
800Do000000tSwWIAU,7092878,17124.01,17124.01,17124.01,2023-05-01,2024-04-30,Activated,(2024-04-30)  ARSENAL SCAFFOLD INC
800Do000000tWH5IAM,7093215,13075.24,13075.24,13075.24,2023-04-18,2024-04-17,Activated,(2024-04-17)  IUOE LOCAL 137
800Do000000x9ZuIAI,7025028,5586.53,5586.53,5586.53,2022-10-01,2023-09-30,Activated,"(2023-09-30)  Seco Holdings, LLC"
800Do0000009WYcIAM,7093695,3278.71,3278.71,3278.71,2023-05-22,2024-05-21,Pending,(2024-05-21)  Cavanaugh Associates LLC
800Do000000xBztIAE,7034323,2220,2220,4440,2021-10-01,2023-09-30,Activated,"(2023-09-30)  Precision Flooring Solutions, Inc."
800Do0000009XX9IAM,7093986,1227.5,1227.5,1227.5,2023-05-30,2024-05-29,Draft,(2024-05-29)  FRY Fastening
800Do000000xRKIIA2,7086966,504,3285.06,3285.06,2023-02-01,2024-01-31,Activated,(2024-01-31)  Sherwin Williams Paint
800Do0000009XXJIA2,7093988,18847.05,18847.05,18847.05,2023-05-30,2024-05-29,Draft,(2024-05-29)  PARKER HANNIFIN FLUID SYSTEM CONNECTORS DI
800Do0000009XZZIA2,7093994,1858.85,1858.85,1858.85,2023-05-03,2024-05-02,Activated,(2024-05-02)  URBAN CONTRACTORS
800Do0000009XZeIAM,7093995,1750.38,1750.38,1750.38,2023-05-03,2024-05-02,Activated,(2024-05-02)  A-1 Construction 116
800Do0000009XZjIAM,7093996,3316.82,3316.82,3316.82,2023-05-03,2024-05-02,Activated,"(2024-05-02)  Studebaker Brown Electric, Inc."
800Do0000009XZoIAM,7093997,4540.01,4540.01,4540.01,2023-05-03,2024-05-02,Activated,(2024-05-02)  WAINSCHAF ASSOCIATES INC
800Do0000009XZtIAM,7093998,6382.46,6382.46,6382.46,2023-05-03,2024-05-02,Activated,(2024-05-02)  Vimco Inc.
800Do0000009XZyIAM,7093999,20515.11,20515.11,20515.11,2023-05-03,2024-05-02,Activated,(2024-05-02)  DESIGN PRECAST INC
800Do0000009Xa3IAE,7094000,944.76,944.76,944.76,2023-05-03,2024-05-02,Activated,"(2024-05-02)  RT Opdenaker & Sons, Inc."
800Do0000009Xa8IAE,7094001,1439.58,1439.58,1439.58,2023-05-03,2024-05-02,Activated,(2024-05-02)  M6 Concrete Accessories
800Do0000009XaDIAU,7094002,1690.64,1690.64,1690.64,2023-05-04,2024-05-03,Activated,(2024-05-03)  Highland Enterprises
800Do0000009XaIIAU,7094003,20000.03,20000.03,20000.03,2023-05-30,2024-05-29,Pending,(2024-05-29)  Mitrex
800Do0000009XaSIAU,7094004,2036.21,2036.21,2036.21,2023-05-04,2024-05-03,Activated,(2024-05-03)  MC CONTRACTORS
800Do0000009XaXIAU,7094005,521.09,521.09,521.09,2023-05-04,2024-05-03,Activated,(2024-05-03)  DESANCTIS INSURANCE
800Do0000009XawIAE,7094009,1926,1926,1926,2023-05-04,2024-05-03,Activated,(2024-05-03)  RB Atkins
800Do0000009XacIAE,7094006,1993.08,1993.08,1993.08,2023-05-04,2024-05-03,Activated,(2024-05-03)  Puckett Rents-MS
800Do0000009XamIAE,7094007,3440.8,3440.8,3440.8,2023-05-04,2024-05-03,Activated,(2024-05-03)  DESANCTIS INSURANCE
800Do0000009XbzIAE,7094021,4011.62,4011.62,4011.62,2023-05-06,2024-05-05,Activated,(2024-05-05)  Texas Overhead Door
800Do0000009XarIAE,7094008,1719.24,1719.24,1719.24,2023-05-04,2024-05-03,Activated,(2024-05-03)  Double AA Construction
800Do0000009XbVIAU,7094016,1719.37,1719.37,1719.37,2023-05-05,2024-05-04,Activated,(2024-05-04)  Lenworth Building Services
800Do0000009Xb1IAE,7094010,5493.87,5493.87,5493.87,2023-05-04,2024-05-03,Activated,(2024-05-03)  LIFE PAINT COMPANY
800Do0000009XcnIAE,7094029,1191.99,1191.99,1191.99,2023-05-07,2024-05-06,Activated,(2024-05-06)  KELLEY'S TRUCKING
800Do0000009XciIAE,7094028,2325.98,2325.98,2325.98,2023-05-07,2024-05-06,Activated,(2024-05-06)  BUILDERS CONCRETE EAST
800Do0000009Xd2IAE,7094032,20069.57,20069.57,20069.57,2023-05-07,2024-05-06,Activated,(2024-05-06)  SKYWORKS LLC
800Do0000009XfrIAE,7094067,1310.75,1310.75,1310.75,2023-05-11,2024-05-10,Activated,(2024-05-10)  Applied Communications Group
800Do0000009Xb6IAE,7094011,3317.09,3317.09,3317.09,2023-05-04,2024-05-03,Activated,(2024-05-03)  Johansen Drainage & Tile
800Do0000009Xc4IAE,7094022,123,492,123,2023-05-03,2023-08-02,Activated,(2023-08-02)  AMES CONSTRUCTION-CO
800Do0000009XbGIAU,7094013,1184.83,1184.83,1184.83,2023-05-05,2024-05-04,Activated,(2024-05-04)  AUTOMATIC CONTROLS OF VA INC
800Do0000009XbaIAE,7094017,4308.25,4308.25,4308.25,2023-05-05,2024-05-04,Activated,(2024-05-04)  Demcon Demolition HRZ Robles 1 Demolition LLC
800Do0000009XcdIAE,7094027,1286.14,1286.14,1286.14,2023-05-07,2024-05-06,Activated,(2024-05-06)  GOLDEN GATE TRANS INC
800Do0000009XcsIAE,7094030,2325.34,2325.34,2325.34,2023-05-07,2024-05-06,Activated,(2024-05-06)  All Season HVAC Rentals
800Do0000009XbLIAU,7094014,2528.75,2528.75,2528.75,2023-05-05,2024-05-04,Activated,(2024-05-04)  NEW ACADEMICS LLC
800Do0000009XbQIAU,7094015,3387.62,3387.62,3387.62,2023-05-05,2024-05-04,Activated,(2024-05-04)  BELDEN BRICK & SUPPLY
800Do0000009XbpIAE,7094020,2675,2675,2675,2023-05-06,2024-05-05,Activated,(2024-05-05)  VANCON INC
800Do0000009XbfIAE,7094018,1660.79,1660.79,1660.79,2023-05-06,2024-05-05,Activated,(2024-05-05)  Fantasee Lighting
800Do0000009XbkIAE,7094019,2486.04,2486.04,2486.04,2023-05-06,2024-05-05,Activated,"(2024-05-05)  Nexus Aec, LLC"
800Do0000009Xc9IAE,7094023,1284,1284,1284,2023-05-05,2024-05-04,Activated,(2024-05-04)  Level Land Inc
