Id,OrderNumber,Name,Account.Name,Verified_NS_Sales_Order_Id__c,NS_Sales_Order_Id__c,NetSuite_Sales_Order__c
801Do000000TZQ8IAO,00005699,"Chagrin Valley Steel Erectors, Inc. - Migration","Chagrin Valley Steel Erectors, Inc.",4250461,4095958,
801Do000000TZQ9IAO,00005700,Iwema Excavating - Migration,Iwema Excavating,4095960,4095960,
801Do000000TZQCIA4,00005703,BW Flooring LLC - Migration,BW Flooring LLC,4095969,4095969,
801Do000000TZQEIA4,00005705,Cordone & Tonucci Inc. - Migration,Cordone & Tonucci Inc.,4095977,4095977,
801Do000000TZQGIA4,00005707,TR2 Inc - Migration,TR2 Inc,4095985,4095985,
801Do000000TZQHIA4,00005708,Jaba Construction LLC - Migration,Jaba Construction LLC,4095989,4095989,
801Do000000TZQIIA4,00005709,Seven Seas Construction - Migration,Seven Seas Construction,4095993,4095993,
801Do000000TZQJIA4,00005710,Hernandez Plumbing - Migration,Hernandez Plumbing,4173875,4173875,
801Do000000TZQKIA4,00005711,"Brady Air Conditioning, Inc. - Migration","Brady Air Conditioning, Inc.",4096001,4096001,
801Do000000TZPsIAO,00005683,Capital Construction Group LLC - Migration,Capital Construction Group LLC,4095913,4095913,
801Do000000TZQmIAO,00005739,Maverick Steel Erectors - Migration,Maverick Steel Erectors,4173878,4173878,
801Do000000TZQSIA4,00005719,"Advanced Caulking Svcs., Inc. - Migration","Advanced Caulking Svcs., Inc.",4173882,4173882,
801Do000000TZQoIAO,00005741,Premier Exteriors Inc. - Migration,Premier Exteriors Inc.,4096019,4096019,
801Do000000TZQpIAO,00005742,LIW Ironworks Inc. - Migration,LIW Ironworks Inc.,4096023,4096023,
801Do000000TZQqIAO,00005743,Milcon Construction Corp. - Migration,Milcon Construction Corp.,4173880,4173880,
801Do000000TZQWIA4,00005723,Gator Paving Company - Migration,Gator Paving Company,4173886,4173886,
801Do000000TZQXIA4,00005724,Guaranteed Supply Company - Migration,Guaranteed Supply Company,4250465,4173887,
801Do000000TZQYIA4,00005725,"Intini Construction Services, Inc. - Migration","Intini Construction Services, Inc.",4096057,4096057,
801Do000000TZQZIA4,00005726,J & B Enterprises - Migration,J & B Enterprises,4250466,4096061,
801Do000000TZQaIAO,00005727,"J.M.N. Enterprises, Inc. - Migration","J.M.N. Enterprises, Inc.",4095963,4095963,
801Do000000TZQdIAO,00005730,"Albany Fire Protection, Inc. - Migration","Albany Fire Protection, Inc.",4095975,4095975,
801Do000000TZQeIAO,00005731,Southern Disposal - Migration,Southern Disposal,4095979,4095979,
801Do000000TZQgIAO,00005733,Tricom Plumbing Contractors - Migration,Tricom Plumbing Contractors,4095987,4095987,
801Do000000TZQhIAO,00005734,"Tile King, Inc. - Migration","Tile King, Inc.",4095991,4095991,
801Do000000TZQiIAO,00005735,"J & L Excavating, Inc. - Migration","J & L Excavating, Inc.",4173874,4173874,
801Do000000TZQjIAO,00005736,"Door Werks, Inc. - Migration","Door Werks, Inc.",4095999,4095999,
801Do000000TZQkIAO,00005737,Capitol Electric Corp. - Migration,Capitol Electric Corp.,4096003,4096003,
801Do000000TZQUIA4,00005721,Genco Elevator Inc. - Migration,Genco Elevator Inc.,4096041,4096041,
801Do000000TZR4IAO,00005757,Rainbow Glass & Trim Ltd. - Migration,Rainbow Glass & Trim Ltd.,4096074,4096074,
801Do000000TZR5IAO,00005758,Service Shade Shop - Migration,Service Shade Shop,4096076,4096076,
801Do000000TZR6IAO,00005759,"Pioneer Roofing, Inc. - Migration","Pioneer Roofing, Inc.",4096078,4096078,
801Do000000TZR7IAO,00005760,Fountain Specialist Inc. - Migration,Fountain Specialist Inc.,4096080,4096080,
801Do000000TZR8IAO,00005761,"Ramsey Construction, Inc. - Migration","Ramsey Construction, Inc.",4096082,4096082,
801Do000000TZRAIA4,00005763,Dura-Stress Inc. - Migration,Dura-Stress Inc.,4173890,4173890,
801Do000000TZRBIA4,00005764,"Dyer Construction Company, Inc. - Migration","Dyer Construction Company, Inc.",4173891,4173891,
801Do000000TZQrIAO,00005744,"Headwaters Construction, Inc. - Migration","Headwaters Construction, Inc.",4250464,4096031,
801Do000000TZQsIAO,00005745,"SouthEast Personnel Leasing, Inc. - Migration","SouthEast Personnel Leasing, Inc.",4173883,4173883,
801Do000000TZQtIAO,00005746,"KAT Excavation & Construction, Inc. - Migration","KAT Excavation & Construction, Inc.",4096039,4096039,
801Do000000TZQuIAO,00005747,A to Z Mechanical - Migration,A to Z Mechanical,4096043,4096043,
801Do000000TZQwIAO,00005749,"Refrigeration Experts, Inc. - Migration","Refrigeration Experts, Inc.",4096051,4096051,
801Do000000TZQxIAO,00005750,"S & S Glazing, LLC - Migration","S & S Glazing, LLC",4096055,4096055,
801Do000000TZQyIAO,00005751,Diversified Construction Services LLC - Migration,Diversified Construction Services LLC,4096059,4096059,
801Do000000TZQzIAO,00005752,"North Fork Excavating, Inc. - Migration","North Fork Excavating, Inc.",4096063,4096063,
801Do000000TZR0IAO,00005753,"PanAmerican Construction, Inc. - Migration","PanAmerican Construction, Inc.",4096066,4096066,
801Do000000TZR1IAO,00005754,"Enterprise Electric, Inc. - Migration","Enterprise Electric, Inc.",4096068,4096068,
801Do000000TZR2IAO,00005755,Triple Nickel Paving Inc. - Migration,Triple Nickel Paving Inc.,4096070,4096070,
801Do000000TZR3IAO,00005756,"Sunset Fence, Inc. - Migration","Sunset Fence, Inc.",4096072,4096072,
801Do000000TZQOIA4,00005715,Steinway Awning II LLC - Migration,Steinway Awning II LLC,4096017,4096017,
801Do000000TZQPIA4,00005716,Atlantic Awning - Migration,Atlantic Awning,4096021,4096021,
801Do000000TZQRIA4,00005718,Cellcrete Decks - Migration,Cellcrete Decks,4173881,4173881,
801Do000000TZQnIAO,00005740,Architectural Metal Concepts - Migration,Architectural Metal Concepts,4096015,4096015,
801Do000000TZReIAO,00005793,EIS Holdings - Migration,EIS Holdings,4124711,4124711,
801Do000000TZRYIA4,00005787,Sunrise Grading & Paving - Migration,Sunrise Grading & Paving,4096178,4096178,
801Do000000TZRCIA4,00005765,Summer General Construction - Migration,Summer General Construction,4096093,4096093,
801Do000000TZRDIA4,00005766,DACOSTA CONSTRUCTION INC - Migration,DACOSTA CONSTRUCTION INC,4096097,4096097,
801Do000000TZREIA4,00005767,Dyer Insulations - Migration,Dyer Insulations,4096101,4096101,
801Do000000TZRFIA4,00005768,"Subfloor Systems, Inc. - Migration","Subfloor Systems, Inc.",4096105,4096105,
801Do000000TZRGIA4,00005769,ACPS Painting - Migration,ACPS Painting,4173894,4173894,
801Do000000TZRIIA4,00005771,"JFA Insurance Brokerage & Associates, Inc. - Migration","JFA Insurance Brokerage & Associates, Inc.",4096117,4096117,
801Do000000TZRJIA4,00005772,"Markets First Refrigeration, Inc. - Migration","Markets First Refrigeration, Inc.",4096121,4096121,
801Do000000TZRKIA4,00005773,"West Coast Business Communications, Inc. - Migration","West Coast Business Communications, Inc.",4096124,4096124,
801Do000000TZRLIA4,00005774,Fisk Electric Co. - Migration,Fisk Electric Co.,4096128,4096128,
801Do000000TZRgIAO,00005795,Super Design Center Inc. - Migration,Super Design Center Inc.,4096111,4096111,
801Do000000TZRiIAO,00005797,"Zamora's Electric, Inc. - Migration","Zamora's Electric, Inc.",4096119,4096119,
801Do000000TZRjIAO,00005798,Midwest Striping Co. - Migration,Midwest Striping Co.,4096123,4096123,
801Do000000TZRkIAO,00005799,Hoffmann Glass - Migration,Hoffmann Glass,4096126,4096126,
801Do000000TZRlIAO,00005800,"Louis L. Buttermark & Sons, Inc. - Migration","Louis L. Buttermark & Sons, Inc.",4173895,4173895,
801Do000000TZRmIAO,00005801,NY Sheet Metal Corp. - Migration,NY Sheet Metal Corp.,4096134,4096134,
801Do000000TZRnIAO,00005802,Winelco Inc. - Migration,Winelco Inc.,4096138,4096138,
801Do000000TZRoIAO,00005803,ARI/ Tate Access Floors - Migration,ARI/ Tate Access Floors,4250467,4096142,
801Do000000TZRpIAO,00005804,"Cool Solutions Manufacturing, Inc. - Migration","Cool Solutions Manufacturing, Inc.",4124712,4124712,
801Do000000TZRZIA4,00005788,Alarcon Sons - Migration,Alarcon Sons,4096182,4096182,
801Do000000TZRaIAO,00005789,"Zander Solutions, Inc. - Migration","Zander Solutions, Inc.",4096087,4096087,
801Do000000TZRbIAO,00005790,Delta Ironworks Inc. - Migration,Delta Ironworks Inc.,4096091,4096091,
801Do000000TZRcIAO,00005791,"Encore Construction, Inc. - Migration","Encore Construction, Inc.",4096095,4096095,
801Do000000TZRdIAO,00005792,"MAC Sprinkler, Inc. - Migration","MAC Sprinkler, Inc.",4096099,4096099,
801Do000000TZRMIA4,00005775,DW Interiors - Migration,DW Interiors,4096132,4096132,
801Do000000TZRNIA4,00005776,"Deen Electrical Contractors, Inc. - Migration","Deen Electrical Contractors, Inc.",4096136,4096136,
801Do000000TZROIA4,00005777,G.C. Iron Works - Migration,G.C. Iron Works,4096140,4096140,
801Do000000TZRPIA4,00005778,C. White Marine Inc. - Migration,"C. White Marine, Inc.",4173898,4173898,
801Do000000TZRQIA4,00005779,Sierra Insulation Contractors - Migration,Sierra Insulation Contractors,4173900,4173900,
801Do000000TZRRIA4,00005780,"C.S.E. Paving of FL, Inc. - Migration","C.S.E. Paving of FL, Inc.",4250468,4096152,
801Do000000TZRSIA4,00005781,Butler Coring Inc. - Migration,Butler Coring Inc.,4250469,4096156,
801Do000000TZRTIA4,00005782,HK Laundry Equipment Inc. - Migration,HK Laundry Equipment Inc.,4096159,4096159,
801Do000000TZRUIA4,00005783,Grandstand Design Enterprises - Migration,Grandstand Design Enterprises,4096163,4096163,
801Do000000TZRVIA4,00005784,Direct Disposal - Migration,Direct Disposal,4173904,4173904,
801Do000000TZRXIA4,00005786,"S & T Plumbing, Inc. - Migration","S & T Plumbing, Inc.",4096174,4096174,
801Do000000TZRfIAO,00005794,Kilik General Engineering Inc. - Migration,Kilik General Engineering Inc.,4096107,4096107,
801Do000000TZSLIA4,00005836,Midstate Excavating & Landscaping - Migration,Midstate Excavating & Landscaping,4096247,4096247,
801Do000000TZRvIAO,00005810,L & M Mechanical - Migration,L & M Mechanical,4096168,4096168,
801Do000000TZSNIA4,00005838,A-Tex Plumbing & Utilities - Migration,A-Tex Plumbing & Utilities,4096254,4096254,
801Do000000TZSOIA4,00005839,"East Coast Shoring, Inc. - Migration","East Coast Shoring, Inc.",4250474,4096258,
801Do000000TZS5IAO,00005820,"K&B Landscape Services, Inc. - Migration","K&B Landscape Services, Inc.",4096197,4096197,
801Do000000TZS6IAO,00005821,"Coakley Plumbing & Heating, Inc. - Migration","Coakley Plumbing & Heating, Inc.",4096199,4096199,
801Do000000TZS7IAO,00005822,Professional Floorcovering Installations - Migration,Professional Floorcovering Installations,4173908,4173908,
801Do000000TZS8IAO,00005823,"McKeefry & Sons, Inc. - Migration","McKeefry & Sons, Inc.",4096203,4096203,
801Do000000TZS9IAO,00005824,Phillips Construction LLC - Migration,Phillips Construction LLC,4096205,4096205,
801Do000000TZSAIA4,00005825,Coatings Hub Nor Cal - Migration,Coatings Hub Nor Cal,4173909,4173909,
801Do000000TZSBIA4,00005826,Landmark Utilities & Site Excavation Corporation - Migration,Landmark Utilities & Site Excavation Corporation,4096209,4096209,
801Do000000TZSDIA4,00005828,Cadwell Design & Sign - Migration,Cadwell Design & Sign,4096215,4096215,
801Do000000TZSEIA4,00005829,Walsh Electric - Migration,Walsh Electric,4096219,4096219,
801Do000000TZSFIA4,00005830,"Mobile Fire Extinguisher, Inc. - Migration","Mobile Fire Extinguisher, Inc.",4096223,4096223,
801Do000000TZSGIA4,00005831,"Axiom Construction Services Group, LLC - Migration","Axiom Construction Services Group, LLC",4173911,4173911,
801Do000000TZSHIA4,00005832,"Eagle Scaffolding Services, Inc. - Migration","Eagle Scaffolding Services, Inc.",4250472,4096231,
801Do000000TZSIIA4,00005833,"Bladecutter's, Inc. - Migration","Bladecutter's, Inc.",4096235,4096235,
801Do000000TZSJIA4,00005834,"Atwater Drilling, LLC - Migration","Atwater Drilling, LLC",4096239,4096239,
801Do000000TZSKIA4,00005835,California Painting - Migration,California Painting,4096243,4096243,
801Do000000TZSPIA4,00005840,"PREMIER BLINDS CONTRACTORS, INC - Migration","PREMIER BLINDS CONTRACTORS, INC",4173915,4173915,
801Do000000TZSRIA4,00005842,CHUTES International - Migration,CHUTES International,4124713,4124713,
801Do000000TZSSIA4,00005843,"Marlin E. Buckley, P.C. Bldg. Experts - Migration","Marlin E. Buckley, P.C. Bldg. Experts",4096279,4096279,
801Do000000TZSTIA4,00005844,"Lincoln Office Systems, Inc. - Migration","Lincoln Office Systems, Inc.",4096283,4096283,
801Do000000TZRwIAO,00005811,Hunt Consulting - Migration,Hunt Consulting,4096172,4096172,
801Do000000TZRxIAO,00005812,TH Solutions LLC - Migration,TH Solutions LLC,4096176,4096176,
801Do000000TZRyIAO,00005813,Mineral Service Plus LLC - Migration,Mineral Service Plus LLC,4096180,4096180,
801Do000000TZS0IAO,00005815,Britt's Flooring & Appliances - Migration,Britt's Flooring & Appliances,4096187,4096187,
801Do000000TZS1IAO,00005816,"Structura, Inc. - Migration","Structura, Inc.",4096189,4096189,
801Do000000TZS2IAO,00005817,American Roofing & Metal Co. - Migration,American Roofing & Metal Co.,4096191,4096191,
801Do000000TZS3IAO,00005818,Greenbox - Migration,Greenbox,4096193,4096193,
801Do000000TZS4IAO,00005819,Ashlee Fence - Migration,Ashlee Fence,4173906,4173906,
801Do000000TZRqIAO,00005805,Action Asphalt LLC - Migration,Action Asphalt LLC,4096150,4096150,
801Do000000TZRrIAO,00005806,"Pasadena Street Engineering, Inc. - Migration","Pasadena Street Engineering, Inc.",4096154,4096154,
801Do000000TZRsIAO,00005807,"Armistead Mechanical, Inc. - Migration","Armistead Mechanical, Inc.",4250470,4173901,
801Do000000TZRtIAO,00005808,Pastrimas Painting Co. - Migration,Pastrimas Painting Co.,4096161,4096161,
801Do000000TZRuIAO,00005809,Expert Painting & Drywall - Migration,Expert Painting & Drywall,4096165,4096165,
801Do000000TZSMIA4,00005837,Lighthouse Windows - Migration,Lighthouse Windows,4173913,4173913,
801Do000000TZT6IAO,00005882,Northern Concrete Construction - Migration,Northern Concrete Construction,4096318,4096318,
801Do000000TZSnIAO,00005863,Epic Systems Group Inc. - Migration,Epic Systems Group Inc.,4096256,4096256,
801Do000000TZSdIAO,00005884,Premier Concrete Inc. - Migration,Premier Concrete Inc.,4096217,4096217,
801Do000000TZT8IAO,00005885,Nicholson Excavating - Migration,Nicholson Excavating,4096322,4096322,
801Do000000TZTHIA4,00005893,"Barth Roofing Co., Inc. - Migration","Barth Roofing Co., Inc.",4096347,4096347,
801Do000000TZTJIA4,00005895,Kidd-Luukko Corporation - Migration,Kidd-Luukko Corporation,4173924,4173924,
801Do000000TZTKIA4,00005896,Vanguard Roofing - Migration,Vanguard Roofing,4173925,4173925,
801Do000000TZTLIA4,00005897,Campbell Supply Company Inc. - Migration,Campbell Supply Company Inc.,4173926,4173926,
801Do000000TZTMIA4,00005898,Academy Marble & Granite LLC - Migration,Academy Marble & Granite LLC,4124716,4124716,
801Do000000TZTOIA4,00005900,"Terra Sole Outdoor Design, LLC - Migration","Terra Sole Outdoor Design, LLC",4096372,4096372,
801Do000000TZTPIA4,00005901,"Fearing's Audio, Video & Security - Migration","Fearing's Audio, Video & Security",4096376,4096376,
801Do000000TZTQIA4,00005902,Joe Tinsley Stone & Tile - Migration,Joe Tinsley Stone & Tile,4096380,4096380,
801Do000000TZSoIAO,00005864,"Tropic Window Tinting, LLC - Migration","Tropic Window Tinting, LLC",4096260,4096260,
801Do000000TZSpIAO,00005865,Network Interiors Inc. - Migration,Network Interiors Inc.,4173917,4173917,
801Do000000TZSqIAO,00005866,"R & L Acoustics, Inc. - Migration","R & L Acoustics, Inc.",4096270,4096270,
801Do000000TZSrIAO,00005867,Pathway Communications Ltd. - Migration,Pathway Communications Ltd.,4124714,4124714,
801Do000000TZSsIAO,00005868,Ashby Fuel Oil Corp. - Migration,Ashby Fuel Oil Corp.,4096281,4096281,
801Do000000TZStIAO,00005869,Ameri Glass & Aluminum - Migration,Ameri Glass & Aluminum,4173918,4173918,
801Do000000TZSvIAO,00005871,Abacus Sports Installations Ltd. - Migration,Abacus Sports Installations Ltd.,4124715,4124715,
801Do000000TZSwIAO,00005872,"Apple Valley Construction Co., Inc. - Migration","Apple Valley Construction Co., Inc.",4173919,4173919,
801Do000000TZSxIAO,00005873,Burning River Lifts & Elevators - Migration,Burning River Lifts & Elevators,4096297,4096297,
801Do000000TZSyIAO,00005874,"G.H. Nitzel, Inc. - Migration","G.H. Nitzel, Inc.",4173920,4173920,
801Do000000TZSzIAO,00005875,Gerhard Electric - Migration,Gerhard Electric,4096303,4096303,
801Do000000TZT1IAO,00005877,Bartons Plumbing - Migration,Bartons Plumbing,4096308,4096308,
801Do000000TZT2IAO,00005878,Axcess Industries - Migration,Axcess Industries,4096310,4096310,
801Do000000TZT3IAO,00005879,"Eco Tec Insulation, Inc. - Migration","Eco Tec Insulation, Inc.",4096312,4096312,
801Do000000TZT4IAO,00005880,BDS Environmental - Migration,BDS Environmental,4096314,4096314,
801Do000000TZT5IAO,00005881,Mendoza Engineering & Construction Inc - Migration,Mendoza Engineering & Construction Inc,4096316,4096316,
801Do000000TZT9IAO,00005886,"Handi-Lift, Inc. - Migration","Handi-Lift, Inc.",4096324,4096324,
801Do000000TZTBIA4,00005888,"A4 Access A Sub. of Wright & Filippis, Inc. - Migration","A4 Access A Sub. of Wright & Filippis, Inc.",4096329,4096329,
801Do000000TZTCIA4,00005889,Yagmin Ceiling & Drywall Co. - Migration,Yagmin Ceiling & Drywall Co.,4096332,4096332,
801Do000000TZTDIA4,00005890,Mr. Striper LLC - Migration,Mr. Striper LLC,4096335,4096335,
801Do000000TZSeIAO,00005854,Hudson Masonry Corp. - Migration,Hudson Masonry Corp.,4096221,4096221,
801Do000000TZSfIAO,00005855,Future Designs Lighting - Migration,Future Designs Lighting,4096225,4096225,
801Do000000TZSgIAO,00005856,S.R. Forstie Painting LLC - Migration,S.R. Forstie Painting LLC,4096229,4096229,
801Do000000TZShIAO,00005857,Texas Overhead Door - Migration,Texas Overhead Door,4096233,4096233,
801Do000000TZSiIAO,00005858,"Hutch's Plumbing, Inc. - Migration","Hutch's Plumbing, Inc.",4096237,4096237,
801Do000000TZSjIAO,00005859,"Quick Response Fire Protection, Inc. - Migration","Quick Response Fire Protection, Inc.",4250473,4096241,
801Do000000TZSlIAO,00005861,Building Material Plus - Migration,Building Material Plus,4096249,4096249,
801Do000000TZSmIAO,00005862,Paradigm Construction LLC - Migration,Paradigm Construction LLC,4096252,4096252,
801Do000000TZT7IAO,00005883,Advanced Constructors Corp. - Migration,Advanced Constructors Corp.,4173922,4173922,
801Do000000TZTlIAO,00005922,International Waterscapes - Migration,International Waterscapes,4173928,4173928,
801Do000000TZU4IAO,00005941,Superior Systems - Migration,Superior Systems,4096429,4096429,
801Do000000TZTnIAO,00005924,United Electric - Migration,United Electric,4096370,4096370,
801Do000000TZTTIA4,00005905,"Southwest Stucco, Inc. - Migration","Southwest Stucco, Inc.",4250478,4096392,
801Do000000TZTUIA4,00005906,Capri Aluminum Window Corp. - Migration,Capri Aluminum Window Corp.,4096396,4096396,
801Do000000TZTVIA4,00005907,"Exterior Building Services, Inc. - Migration","Exterior Building Services, Inc.",4250479,4096400,
801Do000000TZTWIA4,00005908,AirFresh Industries - Migration,AirFresh Industries,4096404,4096404,
801Do000000TZTXIA4,00005909,"Mission Paving and Sealing, Inc. - Migration","Mission Paving and Sealing, Inc.",4096408,4096408,
801Do000000TZTYIA4,00005910,"A American Electrical Services, Inc. - Migration","A American Electrical Services, Inc.",4250480,4096412,
801Do000000TZTZIA4,00005911,Hard Rock Sawing & Drilling Specialists - Migration,Hard Rock Sawing & Drilling Specialists,4096416,4096416,
801Do000000TZTRIA4,00005903,Diplomat Demolition and Saw Cutting - Migration,Diplomat Demolition and Saw Cutting,4096384,4096384,
801Do000000TZTSIA4,00005904,"WH Plumbing, Heating & Air Cond. Co. - Migration","WH Plumbing, Heating & Air Cond. Co.",4096388,4096388,
801Do000000TZTqIAO,00005927,Brothers General Construction & Painting LLC - Migration,Brothers General Construction & Painting LLC,4096382,4096382,
801Do000000TZTrIAO,00005928,A. Hoffman Awning Co. - Migration,A. Hoffman Awning Co.,4096386,4096386,
801Do000000TZTsIAO,00005929,"Terry Kahl Plumbing, Inc. - Migration","Terry Kahl Plumbing, Inc.",4096390,4096390,
801Do000000TZTtIAO,00005930,"Desco Professional Builders, Inc. - Migration","Desco Professional Builders, Inc.",4096394,4096394,
801Do000000TZTuIAO,00005931,"S & K Automation, LLC - Migration","S & K Automation, LLC",4096398,4096398,
801Do000000TZTvIAO,00005932,Electronic Security Concepts LLC - Migration,Electronic Security Concepts LLC,4096402,4096402,
801Do000000TZTwIAO,00005933,Reinhard Boring Technologies - Migration,Reinhard Boring Technologies,4096406,4096406,
801Do000000TZTyIAO,00005935,ARENA CONSTRUCTION GROUP LLC - Migration,ARENA CONSTRUCTION GROUP LLC,4173931,4173931,
801Do000000TZTzIAO,00005936,"Norman's Glass, Inc. - Migration","Norman's Glass, Inc.",4250481,4096418,
801Do000000TZU0IAO,00005937,"Wenger-Construction, Inc. - Migration","Wenger-Construction, Inc.",4096421,4096421,
801Do000000TZU1IAO,00005938,"Creative Design Plumbing, Inc. - Migration","Creative Design Plumbing, Inc.",4096423,4096423,
801Do000000TZU2IAO,00005939,"Schlosser Signs, Inc. - Migration","Schlosser Signs, Inc.",4096425,4096425,
801Do000000TZTmIAO,00005923,Amtek Construction - Migration,Amtek Construction,4096366,4096366,
801Do000000TZUVIA4,00005969,El Bisel Glass & Mirror - Migration,El Bisel Glass & Mirror,4096524,4096524,
