Account_Seq_Number__c,Id,Renewal_Mode__c,Account_Name__c,ContractNumber,StartDate,EndDate,SBQQ__RenewalOpportunity__c,SBQQ__RenewalOpportunity__r.Name,SBQQ__RenewalOpportunity__r.StageName
1016843-0,800Do000000x91eIAA,Manual,"D&E Electric of Ohio, LLC",7022904,2022-02-01,2024-01-31,006Do000002QWi0IAG,"2024 - D&E Electric of Ohio, LLC - Renewal",Discovery
101824-0,800Do000000x91fIAA,Auto,American Abatement,7022905,2023-01-01,2024-12-31,006Do000002QWi5IAG,2025 - American Abatement - Renewal,Discovery
101890-1,800Do000000x91gIAA,Manual,"G. Fiore Concrete & Construction, Inc.",7022906,2021-04-01,2023-03-31,0063i00000JpVEHAA3,"2023-G. Fiore Concrete & Construction, Inc.- BB Renewal",Solution/Value
1019-0,800Do000000x91hIAA,Manual,David Springer Painting,7022907,2021-02-01,2023-01-31,0063i00000JpVU5AAN,2023-David Springer Painting- BB Renewal,Closed Won
1020631-0,800Do000000x91iIAA,Manual,"Legend Development, LLC",7022908,2021-12-01,2023-11-30,006Do000002QWeiIAG,"2023 - Legend Development, LLC - Renewal",Discovery
1025919-0,800Do000000x91jIAA,Auto,Absolute Electrical Service Inc.,7022909,2022-12-01,2024-11-30,006Do000002QWezIAG,2024 - Absolute Electrical Service Inc. - Renewal,Discovery
1028449-0,800Do000000x91kIAA,Manual,"RMS Orlando, Inc.",7022910,2022-09-01,2024-08-31,006Do000002QWlYIAW,"2024 - RMS Orlando, Inc. - Renewal",Discovery
1028522-0,800Do000000x91lIAA,Manual,"Express Stucco & Wall Service, Inc.",7022911,2022-01-01,2023-12-31,006Do000002QWeaIAG,"2024 - Express Stucco & Wall Service, Inc. - Renewal",Discovery
1028852-0,800Do000000x91mIAA,Manual,New England Brickmaster & Exteriors,7022912,2021-04-01,2023-03-31,0063i00000JpV7wAAF,2023-New England Brickmaster & Exteriors- BB Renewal,Closed Lost
1030497-0,800Do000000x91nIAA,Auto,"Pietra Graniti, Inc.",7022913,2023-01-01,2023-12-31,006Do000002QWNNIA4,"2024 - Pietra Graniti, Inc. - Renewal",Discovery
1030760-0,800Do000000x91oIAA,Manual,K Construction and Development Corp.,7022914,2022-06-01,2023-05-31,0063i00000JpUaIAAV,2023-K Construction and Development Corp.- BB Renewal,Solution/Value
103176-0,800Do000000x91pIAA,Manual,"ABC Disposal Service, Inc.",7022915,2021-10-01,2023-09-30,006Do000002QWQSIA4,"2023 - ABC Disposal Service, Inc. - Renewal",Discovery
103836-0,800Do000000x91qIAA,Manual,Hanset Metal Fabricators,7022916,2021-08-01,2023-07-31,006Do000002QWNsIAO,2023 - Hanset Metal Fabricators - Renewal,Discovery
1040556-0,800Do000000x91rIAA,Manual,AA Stucco & Drywall Inc,7022917,2021-04-01,2023-03-31,0063i00000JpVF2AAN,"2023-AA Stucco & Drywall, Inc.- BB Renewal",Closed Lost
104268-0,800Do000000x91sIAA,Manual,Gold Star Exterminators,7022918,2022-03-01,2024-02-29,006Do000002QWgVIAW,2024 - Gold Star Exterminators - Renewal,Discovery
104469-0,800Do000000x91tIAA,Manual,Phoenix Associates Construction Corporation,7022919,2022-09-01,2024-08-31,006Do000002QWmRIAW,2024 - Phoenix Associates Construction Corporation - Renewal,Discovery
104483-0,800Do000000x91uIAA,Manual,"City Supply Co., Inc.",7022920,2022-01-01,2023-12-31,006Do000002QWiGIAW,"2024 - City Supply Co., Inc. - Renewal",Discovery
104601-4,800Do000000x91vIAA,Manual,Peerless Fence Group,7022921,2021-05-01,2023-04-30,0063i00000JpUwbAAF,2023-Peerless Fence Group- BB Renewal,Solution/Value
104721-0,800Do000000x91wIAA,Manual,"Stell Enterprises, Inc.",7022922,2022-07-01,2023-06-30,0063i00000JpUTlAAN,"2023-Stell Enterprises, Inc.- BB Renewal",Solution/Value
105012-2,800Do000000x91xIAA,Manual,A-Porcel Trading,7022923,2021-09-01,2023-08-31,006Do000002QWFFIA4,2023 - A-Porcel Trading - Renewal,Discovery
105406-0,800Do000000x91yIAA,Manual,Pyramid Plaster Corp.,7022924,2021-09-01,2023-08-31,006Do000002QWLrIAO,2023 - Pyramid Plaster Corp. - Renewal,Discovery
105527-0,800Do000000x91zIAA,Manual,"Designer Sign Systems, LLC",7022925,2021-09-01,2023-08-31,006Do000002QWIAIA4,"2023 - Designer Sign Systems, LLC - Renewal",Discovery
1057677-0,800Do000000x920IAA,Manual,"AGP & Sons, Inc.",7022926,2022-02-01,2024-01-31,006Do000002QWiLIAW,"2024 - AGP & Sons, Inc. - Renewal",Discovery
1061837-0,800Do000000x921IAA,Manual,"Petrafab, Inc.",7022927,2022-10-01,2024-09-30,006Do000002QWaHIAW,"2024 - Petrafab, Inc. - Renewal",Discovery
106260-0,800Do000000x922IAA,Manual,Creative Ceiling Solutions,7022928,2021-04-01,2023-03-31,0063i00000JpVfvAAF,2023-Creative Ceiling Solutions- BB Renewal,Proposal
1062846-0,800Do000000x923IAA,Manual,"South East Services, Inc.",7022929,2022-07-01,2023-06-30,0063i00000JpUjxAAF,"2023-South East Services, Inc.- BB Renewal",Solution/Value
1063982-0,800Do000000x924IAA,Manual,"Signworks, Inc.",7022930,2021-12-01,2023-11-30,006Do000002QWHvIAO,"2023 - Signworks, Inc. - Renewal",Discovery
1064343-0,800Do000000x925IAA,Auto,Art Glass Windows,7022931,2022-11-01,2023-10-31,006Do000002QWTCIA4,2023 - Art Glass Windows - Renewal,Discovery
1066832-0,800Do000000x926IAA,Auto,Frontline Mechanical Inc.,7022932,2023-02-01,2024-01-31,006Do000002QWYCIA4,2024 - Frontline Mechanical Inc. - Renewal,Discovery
106685-0,800Do000000x927IAA,Manual,"Tri-County Building Specialties, Inc.",7022933,2022-10-01,2024-09-30,006Do000002QWnZIAW,"2024 - Tri-County Building Specialties, Inc. - Renewal",Discovery
107045-0,800Do000000x928IAA,Manual,United Pavers Inc.,7022934,2022-08-01,2024-07-31,006Do000002QWhUIAW,2024 - United Pavers Inc. - Renewal,Discovery
1070631-0,800Do000000x929IAA,Auto,Vinny Construction Corp.,7022935,2024-01-01,2025-12-31,006Do000002QWM0IAO,2026 - Vinny Construction Corp. - Renewal,Discovery
1071604-0,800Do000000x92AIAQ,Auto,Grunder Landscaping,7022936,2022-12-01,2023-11-30,006Do000002QWetIAG,2023 - Grunder Landscaping - Renewal,Discovery
107301-0,800Do000000x92BIAQ,Manual,Constructive Solutions LLC,7022937,2021-08-01,2023-07-31,006Do000002QWneIAG,2023 - Constructive Solutions LLC - Renewal,Discovery
107368-0,800Do000000x92CIAQ,Auto,Vezandio Contracting Corp.,7022938,2023-01-01,2024-12-31,006Do000002QWcDIAW,2025 - Vezandio Contracting Corp. - Renewal,Discovery
1074635-0,800Do000000x92DIAQ,Manual,"Milani Construction, LLC",7022939,2022-01-01,2023-12-31,006Do000002QWV9IAO,"2024 - Milani Construction, LLC - Renewal",Discovery
107582-0,800Do000000x92EIAQ,Auto,John Abell Corp.,7022940,2022-12-01,2024-11-30,006Do000002QWZ5IAO,2024 - John Abell Corp. - Renewal,Discovery
107621-0,800Do000000x92FIAQ,Manual,"J.W. Dell Co., Inc.",7022941,2021-05-01,2023-04-30,0063i00000JpVcYAAV,"2023-J.W. Dell Co., Inc.- BB Renewal",Contract Signed
107997-0,800Do000000x92GIAQ,Manual,"Able Rolling Steel Door, Inc.",7022942,2021-08-01,2023-07-31,006Do000002QWoSIAW,"2023 - Able Rolling Steel Door, Inc. - Renewal",Discovery
108276-1,800Do000000x92HIAQ,Manual,High Rise Security Systems LLC,7022943,2021-09-01,2023-08-31,006Do000002QWWqIAO,2023 - High Rise Security Systems LLC - Renewal,Discovery
1085429-0,800Do000000x92IIAQ,Manual,BPI Plumbing,7022944,2022-03-01,2024-02-29,006Do000002QWnLIAW,2024 - BPI Plumbing - Renewal,Discovery
108934-0,800Do000000x92JIAQ,Manual,BILRAY CORPORATION,7022945,2022-09-01,2023-08-31,006Do000002QWWfIAO,2023 - BILRAY CORPORATION - Renewal,Discovery
108998-0,800Do000000x92KIAQ,Manual,"Illingworth-Kilgust Mechanical, Inc.",7022946,2021-09-01,2023-08-31,006Do000002QWoXIAW,"2023 - Illingworth-Kilgust Mechanical, Inc. - Renewal",Discovery
1090635-0,800Do000000x92LIAQ,Manual,NewQuality Fence Co.,7022947,2022-01-01,2023-12-31,006Do000002QWDTIA4,2024 - Newquality Fence Corp. - Renewal,Discovery
1095331-0,800Do000000x92MIAQ,Manual,"American Roofing, Inc.",7022948,2022-03-01,2023-02-28,0063i00000JpUjyAAF,"2023-American Roofing, Inc.- BB Renewal",Contract Acceptance
1095396-0,800Do000000x92NIAQ,Manual,Thomas Phoenix International Inc.,7022949,2022-10-01,2024-09-30,006Do000002QWaMIAW,2024 - Thomas Phoenix International Inc. - Renewal,Discovery
109556-0,800Do000000x92OIAQ,Manual,"Garin Plumbing, Inc.",7022950,2021-04-01,2023-03-31,0063i00000JpUydAAF,"2023-Garin Plumbing, Inc.- BB Renewal",Closed Won
1095668-0,800Do000000x92PIAQ,Auto,"Arminco, Inc.",7022951,2022-11-01,2023-10-31,006Do000002QWpLIAW,"2023 - Arminco, Inc. - Renewal",Discovery
109576-0,800Do000000x92QIAQ,Manual,H.J. Pertzborn Plbg. & Fire Protection,7022952,2022-02-01,2024-01-31,006Do000002QWWgIAO,2024 - H.J. Pertzborn Plbg. & Fire Protection - Renewal,Discovery
1097743-0,800Do000000x92RIAQ,Manual,"Cardinal Floor Covering, LLC",7022953,2022-04-01,2024-03-31,006Do000002QWTXIA4,"2024 - Cardinal Floor Covering, LLC - Renewal",Discovery
1101914-0,800Do000000x92SIAQ,Manual,CertaPro Painters,7022954,2022-03-01,2024-02-29,006Do000002QWJ7IAO,2024 - CertaPro Painters - Renewal,Discovery
110318-0,800Do000000x92TIAQ,Auto,"Landscape Materials, Inc.",7022955,2023-01-01,2024-12-31,006Do000002QWpQIAW,"2025 - Landscape Materials, Inc. - Renewal",Discovery
1106533-0,800Do000000x92UIAQ,Manual,"Pro-Tech Security, Inc.",7022956,2021-06-01,2023-05-31,0063i00000JpV57AAF,"2023-Pro-Tech Security, Inc.- BB Renewal",Solution/Value
110842-0,800Do000000x92VIAQ,Auto,"Imac Construction, Inc.",7022957,2023-01-01,2024-12-31,006Do000002QWLiIAO,"2025 - Imac Construction, Inc. - Renewal",Discovery
111101-1,800Do000000x92WIAQ,Auto,United Steel Corporation,7022958,2022-11-01,2024-10-31,006Do000002QWF4IAO,2024 - United Steel Corporation - Renewal,Discovery
111161-0,800Do000000x92XIAQ,Manual,Crown Valley Shotcrete & Pools,7022959,2022-09-01,2024-08-31,006Do000002QWg6IAG,2024 - Crown Valley Shotcrete & Pools - Renewal,Discovery
111265-0,800Do000000x92YIAQ,Manual,"Advanced Aquatic Technology, Inc.",7022960,2022-09-01,2024-08-31,006Do000002QWpVIAW,"2024 - Advanced Aquatic Technology, Inc. - Renewal",Discovery
111317-0,800Do000000x92ZIAQ,Manual,Merrillville Awning Co.,7022961,2022-03-01,2024-02-29,006Do000002QWRrIAO,2024 - Merrillville Awning Co. - Renewal,Discovery
111715-0,800Do000000x92aIAA,Manual,Firekote Corp.,7022962,2021-03-01,2023-02-28,0063i00000JpVF1AAN,2023-Firekote Corp.- BB Renewal,Closed Won
111821-0,800Do000000x92bIAA,Manual,"Acoustical Spray Insulators, Inc.",7022963,2021-12-01,2023-11-30,006Do000002QWq9IAG,"2023 - Acoustical Spray Insulators, Inc. - Renewal",Discovery
1118294-0,800Do000000x92cIAA,Manual,Interior & Exterior Designs Inc.,7022964,2021-09-01,2023-08-31,006Do000002QWeTIAW,2023 - Interior & Exterior Designs Inc. - Renewal,Discovery
1126087-0,800Do000000x92dIAA,Manual,A1 Asphalt Paving Inc.,7022965,2022-09-01,2024-08-31,006Do000002QWqEIAW,2024 - A1 Asphalt Paving Inc. - Renewal,Discovery
113744-0,800Do000000x92eIAA,Manual,"Waco, Inc.",7022966,2022-01-01,2023-12-31,006Do000002QWqJIAW,"2024 - Waco, Inc. - Renewal",Discovery
1140555-0,800Do000000x92fIAA,Manual,Grunwell-Cashero Co.,7022967,2021-06-01,2023-05-31,0063i00000JpVbTAAV,2023-Grunwell-Cashero Co.- BB Renewal,Solution/Value
1142653-0,800Do000000x92gIAA,Manual,"A&T Heating & Air Conditioning, Inc.",7022968,2021-04-01,2023-03-31,0063i00000JpVSaAAN,"2023-A&T Heating & Air Conditioning, Inc.- BB Renewal",Verbal Acceptance
1146779-0,800Do000000x92hIAA,Manual,"Nolasco Plumbing, Inc.",7022969,2022-10-01,2024-09-30,006Do000002QWJIIA4,"2024 - Nolasco Plumbing, Inc. - Renewal",Discovery
1148535-0,800Do000000x92iIAA,Manual,B & A Commercial Inc.,7022970,2022-01-01,2023-12-31,006Do000002QWqOIAW,2024 - B & A Commercial Inc. - Renewal,Discovery
114866-0,800Do000000x92jIAA,Manual,"American Fire Sprinklers Services, Inc.",7022971,2021-05-01,2023-04-30,0063i00000JpVVwAAN,"2023-American Fire Sprinklers Services, Inc.- BB Renewal",Contract Signed
1149338-0,800Do000000x92kIAA,Manual,"Diamond Brite Metals, LLC",7022972,2022-06-01,2024-05-31,006Do000002QWLAIA4,"2024 - Diamond Brite Metals, LLC - Renewal",Discovery
1157247-0,800Do000000x92lIAA,Manual,B & T Glass & Mirror,7022973,2022-02-01,2024-01-31,006Do000002QWnfIAG,2024 - B & T Glass & Mirror - Renewal,Discovery
1157740-0,800Do000000x92mIAA,Auto,"Raymond James Restoration, Inc.",7022974,2023-01-01,2024-12-31,006Do000002QWNcIAO,"2025 - Raymond James Restoration, Inc. - Renewal",Discovery
1158606-0,800Do000000x92nIAA,Manual,Mack Fire Protection,7022975,2022-07-01,2024-06-30,006Do000002QWKLIA4,2024 - Mack Fire Protection - Renewal,Discovery
1160240-0,800Do000000x92oIAA,Manual,ATG Construction,7022976,2021-05-01,2023-04-30,0063i00000JpVb7AAF,2023-ATG Construction- BB Renewal,Solution/Value
1160399-0,800Do000000x92pIAA,Manual,"Road Safety Systems, LLC",7022977,2021-06-01,2023-05-31,,,
116063-0,800Do000000x92qIAA,Manual,Rite Rug Flooring,7022978,2022-01-01,2023-12-31,006Do000002QWrMIAW,2024 - Rite Rug Flooring - Renewal,Discovery
1161560-0,800Do000000x92rIAA,Manual,"Smith Flooring, Inc.",7022979,2022-01-01,2023-12-31,006Do000002QWYXIA4,"2024 - Smith Flooring, Inc. - Renewal",Discovery
1162264-0,800Do000000x92sIAA,Manual,AirTek,7022980,2022-03-01,2024-02-29,006Do000002QWNJIA4,2024 - AirTek - Renewal,Discovery
116589-0,800Do000000x92tIAA,Manual,Repro-Graphic Supply,7022981,2022-02-01,2023-01-31,0063i00000JpUeMAAV,2023-Repro-Graphic Supply- BB Renewal,Closed Won
116641-1,800Do000000x92uIAA,Manual,"Fence Scapes, LLC",7022982,2022-09-01,2024-08-31,006Do000002QWrRIAW,"2024 - Fence Scapes, LLC - Renewal",Discovery
1166459-0,800Do000000x92vIAA,Auto,BNR Concrete Inc.,7022983,2023-01-01,2024-12-31,006Do000002QWmSIAW,2025 - BNR Concrete Inc. - Renewal,Discovery
116762-8,800Do000000x92wIAA,Manual,CleanTech Corp.,7022984,2021-04-01,2023-03-31,0063i00000JpUtPAAV,2023-CleanTech Corp.- BB Renewal,Contract Acceptance
1174279-0,800Do000000x92xIAA,Manual,Sovereign Electric LLC,7022985,2021-11-01,2023-10-31,006Do000002QWIxIAO,2023 - Sovereign Electric LLC - Renewal,Discovery
1174910-0,800Do000000x92yIAA,Manual,Hansen Construction Management Group,7022986,2021-02-01,2023-01-31,0063i00000JpVSoAAN,2023-Hansen Construction Management Group       - BB Renewal,Closed Lost
1176277-0,800Do000000x92zIAA,Manual,Central Minnesota Sawing,7022987,2022-03-01,2024-02-29,006Do000002QWmDIAW,2024 - Central Minnesota Sawing - Renewal,Discovery
118112-0,800Do000000x930IAA,Manual,"R.V. Masonry Construction, Inc.",7022988,2022-02-01,2024-01-31,006Do000002QWhiIAG,"2024 - R.V. Masonry Construction, Inc. - Renewal",Discovery
1181497-0,800Do000000x931IAA,Manual,"Electric Services, Inc.",7022989,2021-12-01,2023-11-30,006Do000002QWqKIAW,"2023 - Electric Services, Inc. - Renewal",Discovery
1181645-0,800Do000000x932IAA,Auto,P & P Fireproofing Inc.,7022990,2022-11-01,2024-10-31,006Do000002QWDcIAO,2024 - P & P Fireproofing Inc. - Renewal,Discovery
118387-0,800Do000000x933IAA,Manual,MCNULTY CONSTRUCTION,7022991,2022-07-01,2024-06-30,0063i00000JpXmjAAF,2023 - Mcnulty Construction - Dodge Renewal,Solution/Value
119126-1,800Do000000x934IAA,Manual,Pro Door & Window,7022992,2022-02-01,2024-01-31,006Do000002QWebIAG,2024 - Pro Door & Window - Renewal,Discovery
1195764-0,800Do000000x935IAA,Auto,"ADS Construction, Inc.",7022993,2023-01-01,2023-12-31,006Do000002QWVvIAO,"2024 - ADS Construction, Inc. - Renewal",Discovery
119633-0,800Do000000x936IAA,Manual,"DTM Elevator Consulting & Drafting Services, Inc.",7022994,2022-01-01,2023-12-31,006Do000002QWnGIAW,"2024 - DTM Elevator Consulting & Drafting Services, Inc. - Renewal",Discovery
1196699-0,800Do000000x937IAA,Manual,"The Williams Group Electrical Contractors, LLC",7022995,2022-07-01,2024-06-30,006Do000002QWodIAG,"2024 - The Williams Group Electrical Contractors, LLC - Renewal",Discovery
119743-0,800Do000000x938IAA,Manual,"R & G Wrought Iron Railing, Inc.",7022996,2021-10-01,2023-09-30,006Do000002QWWLIA4,"2023 - R & G Wrought Iron Railing, Inc. - Renewal",Discovery
1197635-1,800Do000000x939IAA,Manual,"Fire Protection And Life Safety, Inc.",7022997,2022-10-01,2024-09-30,006Do000002QWnzIAG,"2024 - Fire Protection And Life Safety, Inc. - Renewal",Discovery
1200856-0,800Do000000x93AIAQ,Manual,"Pepperrell Cove Marine Services, Inc.",7022998,2022-03-01,2024-02-29,006Do000002QWhdIAG,"2024 - Pepperrell Cove Marine Services, Inc. - Renewal",Discovery
1201762-0,800Do000000x93BIAQ,Manual,"John Celli Custom Furniture Designs, Inc.",7022999,2022-01-01,2023-12-31,006Do000002QWskIAG,"2024 - John Celli Custom Furniture Designs, Inc. - Renewal",Discovery
1201978-0,800Do000000x93CIAQ,Manual,"Skyline Scaffolding Group, Inc.",7023000,2022-09-01,2024-08-31,006Do000002QWdwIAG,"2024 - Skyline Scaffolding Group, Inc. - Renewal",Discovery
1202310-0,800Do000000x93DIAQ,Manual,"Triad Sheet Metal & Mechanical, Inc.",7023001,2022-02-01,2024-01-31,006Do000002QWDdIAO,"2024 - Triad Sheet Metal & Mechanical, Inc. - Renewal",Discovery
1203060-0,800Do000000x93EIAQ,Manual,Mt. Hood Window Coverings Inc.,7023002,2021-06-01,2023-05-31,0063i00000JpUwGAAV,2023-Mt. Hood Window Coverings Inc. - BB Renewal,Solution/Value
1204217-0,800Do000000x93FIAQ,Manual,Payless Stucco,7023003,2021-05-01,2023-04-30,0063i00000JpVIfAAN,2023-Payless Stucco- BB Renewal,Contract Signed
1204490-0,800Do000000x93GIAQ,Manual,Makena Construction,7023004,2022-04-01,2024-03-31,006Do000002QWjLIAW,2024 - Makena Construction - Renewal,Discovery
1204600-0,800Do000000x93HIAQ,Manual,Starz Company,7023005,2021-06-01,2023-05-31,0063i00000JpVAsAAN,2023-Starz Company- BB Renewal,Solution/Value
120587-0,800Do000000x93IIAQ,Manual,GMS Elevator Services,7023006,2022-09-01,2024-08-31,006Do000002QWthIAG,2024 - GMS Elevator Services - Renewal,Discovery
1206568-0,800Do000000x93JIAQ,Manual,R.K.B. Trucking LLC,7023007,2021-09-01,2023-08-31,006Do000002QWtmIAG,2023 - R.K.B. Trucking LLC - Renewal,Discovery
1207133-1,800Do000000x93KIAQ,Manual,TCDC - General Contractors,7023008,2022-09-01,2024-08-31,006Do000002QWpqIAG,2024 - TCDC - General Contractors - Renewal,Discovery
120734-0,800Do000000x93LIAQ,Manual,"Alert Sprinkler Co., Inc.",7023009,2021-10-01,2023-09-30,006Do000002QWoYIAW,"2023 - Alert Sprinkler Co., Inc. - Renewal",Discovery
121075-0,800Do000000x93MIAQ,Manual,Floor Technologies,7023010,2022-05-01,2024-04-30,006Do000002QWtrIAG,2024 - Floor Technologies - Renewal,Discovery
1212808-0,800Do000000x93NIAQ,Manual,Awnings Universal,7023011,2021-08-01,2023-07-31,006Do000002QWquIAG,2023 - Awnings Universal - Renewal,Discovery
1212818-0,800Do000000x93OIAQ,Manual,"SsesCo, Inc.",7023012,2021-07-01,2023-06-30,0063i00000JpVJrAAN,"2023-SsesCo, Inc.- BB Renewal",Solution/Value
1212903-0,800Do000000x93PIAQ,Manual,G.A. Mechanical Inc.,7023013,2022-01-01,2023-12-31,006Do000002QWVeIAO,2024 - G.A. Mechanical Inc. - Renewal,Discovery
1214993-0,800Do000000x93QIAQ,Manual,"Fritz Cartage & Asphalt, Inc.",7023014,2021-05-01,2023-04-30,0063i00000JpUwuAAF,"2023-Fritz Cartage & Asphalt, Inc.- BB Renewal",Solution/Value
121774-0,800Do000000x93RIAQ,Manual,Dsk Landscape Architects,7023015,2021-02-01,2023-01-31,,,
