Account_Seq_Number__c,Id,Renewal_Mode__c,Account_Name__c,ContractNumber,StartDate,EndDate,SBQQ__RenewalOpportunity__r.Name,SBQQ__RenewalOpportunity__r.StageName
1085429-0,800Do000000x92IIAQ,Manual,BPI Plumbing,7022944,2022-03-01,2024-02-29,2024 - BPI Plumbing - Renewal,Discovery
108998-0,800Do000000x92KIAQ,Manual,"Illingworth-Kilgust Mechanical, Inc.",7022946,2021-09-01,2023-08-31,"2023 - Illingworth-Kilgust Mechanical, Inc. - Renewal",Discovery
1090635-0,800Do000000x92LIAQ,Manual,NewQuality Fence Co.,7022947,2022-01-01,2023-12-31,2024 - Newquality Fence Corp. - Renewal,Discovery
1095331-0,800Do000000x92MIAQ,Manual,"American Roofing, Inc.",7022948,2022-03-01,2023-02-28,"2023-American Roofing, Inc.- BB Renewal",Contract Acceptance
109556-0,800Do000000x92OIAQ,Manual,"Garin Plumbing, Inc.",7022950,2021-04-01,2023-03-31,"2023-Garin Plumbing, Inc.- BB Renewal",Solution/Value
1095668-0,800Do000000x92PIAQ,Auto,"Arminco, Inc.",7022951,2022-11-01,2023-10-31,"2023 - Arminco, Inc. - Renewal",Discovery
109576-0,800Do000000x92QIAQ,Manual,H.J. Pertzborn Plbg. & Fire Protection,7022952,2022-02-01,2024-01-31,2024 - H.J. Pertzborn Plbg. & Fire Protection - Renewal,Discovery
1097743-0,800Do000000x92RIAQ,Manual,"Cardinal Floor Covering, LLC",7022953,2022-04-01,2024-03-31,"2024 - Cardinal Floor Covering, LLC - Renewal",Discovery
1101914-0,800Do000000x92SIAQ,Manual,CertaPro Painters,7022954,2022-03-01,2024-02-29,2024 - CertaPro Painters - Renewal,Discovery
110318-0,800Do000000x92TIAQ,Auto,"Landscape Materials, Inc.",7022955,2023-01-01,2024-12-31,"2025 - Landscape Materials, Inc. - Renewal",Discovery
111101-1,800Do000000x92WIAQ,Auto,United Steel Corporation,7022958,2022-11-01,2024-10-31,2024 - United Steel Corporation - Renewal,Discovery
111317-0,800Do000000x92ZIAQ,Manual,Merrillville Awning Co.,7022961,2022-03-01,2024-02-29,2024 - Merrillville Awning Co. - Renewal,Discovery
111715-0,800Do000000x92aIAA,Manual,Firekote Corp.,7022962,2021-03-01,2023-02-28,2023-Firekote Corp.- BB Renewal,Closed Won
111821-0,800Do000000x92bIAA,Manual,"Acoustical Spray Insulators, Inc.",7022963,2021-12-01,2023-11-30,"2023 - Acoustical Spray Insulators, Inc. - Renewal",Discovery
1118294-0,800Do000000x92cIAA,Manual,Interior & Exterior Designs Inc.,7022964,2021-09-01,2023-08-31,2023 - Interior & Exterior Designs Inc. - Renewal,Discovery
113744-0,800Do000000x92eIAA,Manual,"Waco, Inc.",7022966,2022-01-01,2023-12-31,"2024 - Waco, Inc. - Renewal",Discovery
1140555-0,800Do000000x92fIAA,Manual,Grunwell-Cashero Co.,7022967,2021-06-01,2023-05-31,2023-Grunwell-Cashero Co.- BB Renewal,Solution/Value
1148535-0,800Do000000x92iIAA,Manual,B & A Commercial Inc.,7022970,2022-01-01,2023-12-31,2024 - B & A Commercial Inc. - Renewal,Discovery
114866-0,800Do000000x92jIAA,Manual,"American Fire Sprinklers Services, Inc.",7022971,2021-05-01,2023-04-30,"2023-American Fire Sprinklers Services, Inc.- BB Renewal",Solution/Value
1157247-0,800Do000000x92lIAA,Manual,B & T Glass & Mirror,7022973,2022-02-01,2024-01-31,2024 - B & T Glass & Mirror - Renewal,Discovery
116063-0,800Do000000x92qIAA,Manual,Rite Rug Flooring,7022978,2022-01-01,2023-12-31,2024 - Rite Rug Flooring - Renewal,Discovery
1162264-0,800Do000000x92sIAA,Manual,AirTek,7022980,2022-03-01,2024-02-29,2024 - AirTek - Renewal,Discovery
116641-1,800Do000000x92uIAA,Manual,"Fence Scapes, LLC",7022982,2022-09-01,2024-08-31,"2024 - Fence Scapes, LLC - Renewal",Discovery
116762-8,800Do000000x92wIAA,Manual,CleanTech Corp.,7022984,2021-04-01,2023-03-31,2023-CleanTech Corp.- BB Renewal,Solution/Value
1174910-0,800Do000000x92yIAA,Manual,Hansen Construction Management Group,7022986,2021-02-01,2023-01-31,2023-Hansen Construction Management Group       - BB Renewal,Closed Lost
1176277-0,800Do000000x92zIAA,Manual,Central Minnesota Sawing,7022987,2022-03-01,2024-02-29,2024 - Central Minnesota Sawing - Renewal,Discovery
118112-0,800Do000000x930IAA,Manual,"R.V. Masonry Construction, Inc.",7022988,2022-02-01,2024-01-31,"2024 - R.V. Masonry Construction, Inc. - Renewal",Discovery
1181645-0,800Do000000x932IAA,Auto,P & P Fireproofing Inc.,7022990,2022-11-01,2024-10-31,2024 - P & P Fireproofing Inc. - Renewal,Discovery
119126-1,800Do000000x934IAA,Manual,Pro Door & Window,7022992,2022-02-01,2024-01-31,2024 - Pro Door & Window - Renewal,Discovery
1195764-0,800Do000000x935IAA,Auto,"ADS Construction, Inc.",7022993,2023-01-01,2023-12-31,"2024 - ADS Construction, Inc. - Renewal",Discovery
1196699-0,800Do000000x937IAA,Manual,"The Williams Group Electrical Contractors, LLC",7022995,2022-07-01,2024-06-30,"2024 - The Williams Group Electrical Contractors, LLC - Renewal",Discovery
1197635-1,800Do000000x939IAA,Manual,"Fire Protection And Life Safety, Inc.",7022997,2022-10-01,2024-09-30,"2024 - Fire Protection And Life Safety, Inc. - Renewal",Discovery
1200856-0,800Do000000x93AIAQ,Manual,"Pepperrell Cove Marine Services, Inc.",7022998,2022-03-01,2024-02-29,"2024 - Pepperrell Cove Marine Services, Inc. - Renewal",Discovery
1202310-0,800Do000000x93DIAQ,Manual,"Triad Sheet Metal & Mechanical, Inc.",7023001,2022-02-01,2024-01-31,"2024 - Triad Sheet Metal & Mechanical, Inc. - Renewal",Discovery
1204490-0,800Do000000x93GIAQ,Manual,Makena Construction,7023004,2022-04-01,2024-03-31,2024 - Makena Construction - Renewal,Discovery
1204600-0,800Do000000x93HIAQ,Manual,Starz Company,7023005,2021-06-01,2023-05-31,2023-Starz Company- BB Renewal,Solution/Value
1207133-1,800Do000000x93KIAQ,Manual,TCDC - General Contractors,7023008,2022-09-01,2024-08-31,2024 - TCDC - General Contractors - Renewal,Discovery
120734-0,800Do000000x93LIAQ,Manual,"Alert Sprinkler Co., Inc.",7023009,2021-10-01,2023-09-30,"2023 - Alert Sprinkler Co., Inc. - Renewal",Discovery
121075-0,800Do000000x93MIAQ,Manual,Floor Technologies,7023010,2022-05-01,2024-04-30,2024 - Floor Technologies - Renewal,Discovery
1212818-0,800Do000000x93OIAQ,Manual,"SsesCo, Inc.",7023012,2021-07-01,2023-06-30,"2023-SsesCo, Inc.- BB Renewal",Solution/Value
1212903-0,800Do000000x93PIAQ,Manual,G.A. Mechanical Inc.,7023013,2022-01-01,2023-12-31,2024 - G.A. Mechanical Inc. - Renewal,Discovery
121774-0,800Do000000x93RIAQ,Manual,Dsk Landscape Architects,7023015,2021-02-01,2023-01-31,,
121854-0,800Do000000x93SIAQ,Manual,"HVAC Services, Inc.",7023016,2022-03-01,2024-02-29,"2024 - HVAC Services, Inc. - Renewal",Discovery
122817-3,800Do000000x93UIAQ,Manual,Independent-Edison Door Company,7023018,2022-05-01,2023-04-30,2023 - Independent-edison Door Company - Dodge Renewal,Solution/Value
123665-0,800Do000000x93VIAQ,Manual,Vito Braccia Concrete,7023019,2021-06-01,2023-05-31,2023-Vito Braccia Concrete                                 - BB Renewal,Solution/Value
124775-1,800Do000000x93WIAQ,Manual,I.P.S. Contracting & Scaffold Services,7023020,2021-09-01,2023-08-31,2023 - I.P.S. Contracting & Scaffold Services - Renewal,Discovery
125201-0,800Do000000x93YIAQ,Manual,"B & D Plumbing, Inc.",7023022,2022-09-01,2024-08-31,"2024 - B & D Plumbing, Inc. - Renewal",Discovery
125244-4,800Do000000x93ZIAQ,Auto,SPEEDY CONCRETE CUTTING INC,7023023,2022-12-01,2024-11-30,2023 - Speedy Concrete Cutting Inc - Dodge Renewal,Solution/Value
125290-0,800Do000000x93aIAA,Manual,Allied Fire & Safety,7023024,2022-01-01,2023-12-31,2024 - Allied Fire & Safety - Renewal,Discovery
1254277-0,800Do000000x93bIAA,Manual,"LDM Plumbing & Mechanical, Inc.",7023025,2021-11-01,2023-10-31,"2023 - LDM Plumbing & Mechanical, Inc. - Renewal",Discovery
125499-0,800Do000000x93cIAA,Manual,Garage Door Doctor,7023026,2022-01-01,2023-12-31,2024 - Garage Door Doctor - Renewal,Discovery
1257015-0,800Do000000x93dIAA,Manual,KRV Construction Inc.,7023027,2021-08-01,2023-07-31,2023 - KRV Construction Inc. - Renewal,Discovery
1262580-0,800Do000000x93fIAA,Auto,L.A. Construction,7023029,2023-01-01,2024-12-31,2025 - L.A. Construction - Renewal,Discovery
126523-0,800Do000000x93iIAA,Manual,"Royal Electric Co. of Central Florida, Inc.",7023032,2021-04-01,2023-03-31,"2023-Royal Electric Co. of Central Florida, Inc. - BB Renewal",Closed Won
1267197-0,800Do000000x93kIAA,Manual,"American Glazing & Aluminum, Inc.",7023034,2021-08-01,2023-07-31,"2023 - American Glazing & Aluminum, Inc. - Renewal",Discovery
1274120-0,800Do000000x93lIAA,Manual,"Bates Contracting Services, Inc.",7023035,2022-06-01,2023-05-31,"2023-Bates Contracting Services, Inc.                     - BB Renewal",Solution/Value
1274169-0,800Do000000x93mIAA,Manual,Mac Products Company Inc.,7023036,2022-09-01,2023-08-31,2023 - Mac Products Company Inc. - Renewal,Discovery
127508-4,800Do000000x93oIAA,Manual,Alpine Painting & Sandblasting Contractors,7023038,2021-02-01,2023-01-31,2023-Alpine Painting & Sandblasting Contractors- BB Renewal,Closed Won
1280160-0,800Do000000x93rIAA,Manual,Southeast Railing and Iron Works/New England Ramps,7023041,2021-05-01,2023-04-30,2023-Southeast Railing and Iron Works/New England Ramps- BB Renewal,Solution/Value
128045-1,800Do000000x93sIAA,Manual,Casco Equipment Corporation,7023042,2022-03-01,2024-02-29,2024 - Casco Equipment Corporation - Renewal,Discovery
1287194-1,800Do000000x93wIAA,Auto,Cal-Tex Electric,7023046,2022-12-01,2023-11-30,2023 - Cal-Tex Electric - Renewal,Discovery
128773-0,800Do000000x93xIAA,Manual,"County Tree Care, Inc.",7023047,2022-01-01,2023-12-31,"2024 - County Tree Care, Inc. - Renewal",Discovery
128883-0,800Do000000x93yIAA,Manual,Acme Systems,7023048,2022-10-01,2024-09-30,2024 - Acme Systems - Renewal,Discovery
129045-0,800Do000000x93zIAA,Manual,American Soil Amendment Products,7023049,2021-03-01,2023-02-28,2023-American Soil Amendment Products- BB Renewal,Proposal
1295580-0,800Do000000x941IAA,Manual,Edison Electrical Contractors,7023051,2021-11-01,2023-10-31,2023 - Edison Electrical Contractors - Renewal,Discovery
129620-1,800Do000000x942IAA,Manual,Ambrosino Construction Corp.,7023052,2022-07-01,2024-06-30,2024 - Ambrosino Construction Corp. - Renewal,Discovery
1296283-0,800Do000000x943IAA,Manual,RG Interiors,7023053,2021-04-01,2023-03-31,2023-RG Interiors- BB Renewal,Proposal
1301434-0,800Do000000x944IAA,Manual,Legendary Landscaping,7023054,2022-03-01,2024-02-29,2024 - Legendary Landscaping - Renewal,Discovery
1305-0,800Do000000x946IAA,Manual,Precast Innovations Inc.,7023056,2022-08-01,2024-07-31,2024 - Precast Innovations Inc. - Renewal,Discovery
130574-1,800Do000000x947IAA,Manual,Mata Turf Inc.,7023057,2022-10-01,2024-09-30,2024 - Mata Turf Inc. - Renewal,Discovery
1306704-0,800Do000000x948IAA,Manual,"B.G.B. Ceramic Tile Specialists, Inc.",7023058,2022-02-01,2024-01-31,"2024 - B.G.B. Ceramic Tile Specialists, Inc. - Renewal",Discovery
1307026-0,800Do000000x949IAA,Manual,Advanced Wiring Services Inc.,7023059,2022-04-01,2023-03-31,2023-Advanced Wiring Services Inc.- BB Renewal,Proposal
1307532-0,800Do000000x94AIAQ,Auto,"R.M. Riggle Enterprises, Inc.",7023060,2022-11-01,2024-10-31,"2024 - R.M. Riggle Enterprises, Inc. - Renewal",Discovery
130840-0,800Do000000x94BIAQ,Manual,Pella Commercial,7023061,2021-09-01,2023-08-31,2023 - Pella Commercial - Renewal,Discovery
1308947-0,800Do000000x94CIAQ,Auto,"Casella Waste Services, Inc.",7023062,2022-11-01,2023-10-31,"2023 - Casella Waste Services, Inc. - Renewal",Discovery
131194-0,800Do000000x94DIAQ,Auto,Don H. Mahaffey Drilling Co.,7023063,2023-01-01,2023-12-31,2024 - Don H. Mahaffey Drilling Co. - Renewal,Discovery
1315327-0,800Do000000x94EIAQ,Manual,Access Demolition & Environmental,7023064,2021-08-01,2023-07-31,2023 - Access Demolition & Environmental - Renewal- BlueBook,Discovery
132439-0,800Do000000x94GIAQ,Auto,SK&A Engineers,7023066,2022-12-01,2023-11-30,2023 - SK&A Engineers - Renewal,Discovery
132996-0,800Do000000x94JIAQ,Manual,"Advanced Awning & Design, LLC",7023069,2021-07-01,2023-06-30,"2023-Advanced Awning & Design, LLC- BB Renewal",Solution/Value
13351-0,800Do000000x94LIAQ,Manual,"Jeans Waterproofing of Texas, L.P.",7023071,2021-09-01,2023-08-31,"2023 - Jeans Waterproofing of Texas, L.P. - Renewal",Discovery
240606-0,800Do000000x95GIAQ,Auto,"Bell Architectural Specialties, Inc.",7023132,2022-11-01,2024-10-31,"2024 - Bell Architectural Specialties, Inc. - Renewal",Discovery
240610-1,800Do000000x95HIAQ,Manual,"Cole Roofing Co., Inc.",7023133,2022-01-01,2023-12-31,"2024 - Cole Roofing Co., Inc. - Renewal",Discovery
2413386-0,800Do000000x95NIAQ,Manual,"Godske Awning & Textiles, Inc.",7023134,2022-09-01,2024-08-31,"2024 - Godske Awning & Textiles, Inc. - Renewal",Discovery
241410-0,800Do000000x95OIAQ,Manual,MARINE CONTRACTING GROUP,7023135,2022-07-01,2024-06-30,2023 - Marine Contracting Group - Dodge Renewal,Solution/Value
241483-0,800Do000000x95PIAQ,Manual,CCFP,7023136,2022-09-01,2024-08-31,2024 - CCFP - Renewal,Discovery
242143-0,800Do000000x95RIAQ,Manual,"Cook Construction Co., Inc.",7023138,2021-12-01,2023-11-30,"2023 - Cook Construction Co., Inc. - Renewal",Discovery
2428201-0,800Do000000x95SIAQ,Manual,Orlando's Iron Works,7023139,2021-09-01,2023-08-31,2023 - Orlando's Iron Works - Renewal,Discovery
243029-0,800Do000000x95TIAQ,Auto,"Fire Line Services, Inc.",7023140,2022-11-01,2024-10-31,"2024 - Fire Line Services, Inc. - Renewal",Discovery
24406-0,800Do000000x95WIAQ,Manual,Deckert Acoustical Floors,7023143,2022-09-01,2024-08-31,2024 - Deckert Acoustical Floors - Renewal,Discovery
244100-0,800Do000000x95XIAQ,Manual,POSTORINO CONSTRUCTION FINISHES,7023144,2021-10-01,2023-09-30,2023 - POSTORINO CONSTRUCTION FINISHES - Renewal,Discovery
244401-0,800Do000000x95aIAA,Manual,Kiesland Development Services,7023147,2022-03-01,2024-02-29,2024 - Kiesland Development Services - Renewal,Discovery
244615-0,800Do000000x95cIAA,Auto,Commercial Interior Contracting Inc.,7023149,2022-11-01,2023-10-31,2023 - Commercial Interior Contracting Inc. - Renewal,Discovery
245015-0,800Do000000x95dIAA,Manual,Hutchinson Mechanical Services,7023150,2021-04-01,2023-03-31,2023-Hutchinson Mechanical Services- BB Renewal,Closed Won
245123-0,800Do000000x95eIAA,Manual,"Site Max, Inc.",7023151,2022-01-01,2023-12-31,"2024 - Site Max, Inc. - Renewal",Discovery
2457765-0,800Do000000x95fIAA,Auto,"Todd's Glass, Mirrors & More",7023152,2023-01-01,2024-12-31,"2025 - Todd's Glass, Mirrors & More - Renewal",Discovery
245897-0,800Do000000x95gIAA,Manual,Crossroads Enterprise,7023153,2021-02-01,2023-01-31,2023-Crossroads Enterprise- BB Renewal,Closed Lost
2458975-0,800Do000000x95hIAA,Manual,Accelerated Fire Protection Inc.,7023154,2022-10-01,2024-09-30,2024 - Accelerated Fire Protection Inc. - Renewal,Discovery
246058-1,800Do000000x95jIAA,Auto,"R & S Painting & Decorating, Inc.",7023156,2023-01-01,2024-12-31,"2025 - R & S Painting & Decorating, Inc. - Renewal",Discovery
246610-1,800Do000000x95kIAA,Manual,"TARC Construction, Inc.",7023157,2021-04-01,2023-03-31,"2023-TARC Construction, Inc.- BB Renewal",Closed Won
247022-1,800Do000000x95lIAA,Manual,All American Signs...Plus,7023158,2022-03-01,2024-02-29,2024 - All American Signs...Plus - Renewal,Discovery
2483027-0,800Do000000x95rIAA,Manual,"R.S. Widdoes & Son, Incorporated",7023164,2021-09-01,2023-08-31,"2023 - R.S. Widdoes & Son, Incorporated - Renewal",Discovery
248697-0,800Do000000x95tIAA,Manual,"A. A. Sungardian, Inc.",7023166,2021-08-01,2023-07-31,"2023 - A. A. Sungardian, Inc. - Renewal",Discovery
248989-0,800Do000000x95vIAA,Manual,"Blue Hill Plumbing & Heating, Inc.",7023168,2022-03-01,2024-02-29,"2024 - Blue Hill Plumbing & Heating, Inc. - Renewal",Discovery
2492342-0,800Do000000x95xIAA,Manual,"BP2 Construction, LLC",7023170,2021-12-01,2023-11-30,"2023 - BP2 Construction, LLC - Renewal",Discovery
2492529-0,800Do000000x95yIAA,Manual,"Alpha Glass Systems, LLC",7023171,2022-02-01,2024-01-31,"2024 - Alpha Glass Systems, LLC - Renewal",Discovery
251288-0,800Do000000x962IAA,Manual,GEL Recycling,7023175,2022-03-01,2024-02-29,2024 - GEL Recycling - Renewal,Discovery
251325-0,800Do000000x963IAA,Manual,"Sun Ray Heating, Inc.",7023176,2021-09-01,2023-08-31,"2023 - Sun Ray Heating, Inc. - Renewal",Discovery
251679-0,800Do000000x964IAA,Manual,J.L. Adler Roofing and Sheet Metal Inc.,7023177,2022-01-01,2023-12-31,2024 - J.L. Adler Roofing and Sheet Metal Inc. - Renewal,Discovery
2521541-0,800Do000000x965IAA,Manual,"J & J Electrical, LLC.",7023178,2022-02-01,2023-01-31,,
2530444-0,800Do000000x969IAA,Manual,StoneMaster Inc.,7023182,2021-10-01,2023-09-30,2023 - StoneMaster Inc. - Renewal,Discovery
2531854-0,800Do000000x96AIAQ,Auto,MD & P Floors Corp.,7023183,2022-12-01,2024-11-30,2024 - MD & P Floors Corp. - Renewal,Discovery
254883-1,800Do000000x96CIAQ,Manual,"Copeland Construction, Inc.",7023185,2021-03-01,2023-02-28,"2023-Copeland Construction, Inc.- BB Renewal",Closed Won
255093-0,800Do000000x96DIAQ,Manual,"Hasheider Roofing & Siding, Ltd.-",7023186,2021-03-01,2023-02-28,"2023-Hasheider Roofing & Siding, Ltd.- BB Renewal",Closed Won
255144-0,800Do000000x96EIAQ,Manual,"Fire Alarm Systems And Security, Inc.",7023187,2021-05-01,2023-04-30,"2023-Fire Alarm Systems And Security, Inc.- BB Renewal",Solution/Value
255675-0,800Do000000x96GIAQ,Manual,"Ralco Electric, Inc.",7023189,2021-10-01,2023-09-30,"2023 - Ralco Electric, Inc. - Renewal",Discovery
2560333-0,800Do000000x96HIAQ,Manual,"Damco Utility, Inc.",7023190,2022-01-01,2023-12-31,"2024 - Damco Utility, Inc. - Renewal",Discovery
2564493-2,800Do000000x96KIAQ,Manual,"Clinton Electric Co., Inc.",7023193,2021-05-01,2023-04-30,"2023-Clinton Electric Co., Inc.- BB Renewal",Solution/Value
256672-1,800Do000000x96LIAQ,Auto,Moore Fence Co.,7023194,2023-01-01,2024-12-31,2025 - Moore Fence Co. - Renewal,Discovery
2572522-0,800Do000000x96PIAQ,Manual,"E & E Mechanical Plumbing & Piping, Inc.",7023198,2021-09-01,2023-08-31,"2023 - E & E Mechanical Plumbing & Piping, Inc. - Renewal",Discovery
2573226-0,800Do000000x96QIAQ,Manual,Madison Rose Mechanical Insulation,7023199,2021-10-01,2023-09-30,2023 - Madison Rose Mechanical Insulation - Renewal,Discovery
259038-0,800Do000000x96TIAQ,Manual,K&W Glass Inc.,7023202,2021-05-01,2023-04-30,2023-K&W Glass Inc.- BB Renewal,Solution/Value
2591566-1,800Do000000x96UIAQ,Manual,Alonso Service Co.,7023203,2022-01-01,2023-12-31,2024 - Alonso Service Co. - Renewal,Discovery
259504-1,800Do000000x96VIAQ,Manual,"DeAndrea Coring and Sawing, Inc.",7023204,2022-09-01,2023-08-31,"2023 - DeAndrea Coring and Sawing, Inc. - Renewal",Discovery
2599021-0,800Do000000x96XIAQ,Manual,"Accountable Creations, LLC dba Landmark Landscaping",7023206,2022-01-01,2023-12-31,"2024 - Accountable Creations, LLC dba Landmark Landscaping - Renewal",Discovery
2600162-2,800Do000000x96ZIAQ,Manual,"New Style Contractors, Inc.",7023208,2021-09-01,2023-08-31,"2023 - New Style Contractors, Inc. - Renewal",Discovery
26017-0,800Do000000x96aIAA,Auto,"Ogburn Electric Co., Inc.",7023209,2022-11-01,2024-10-31,"2024 - Ogburn Electric Co., Inc. - Renewal",Discovery
260185-0,800Do000000x96bIAA,Manual,"Edwin A. & John O. Crandell, Inc.",7023210,2022-09-01,2024-08-31,"2024 - Edwin A. & John O. Crandell, Inc. - Renewal",Discovery
2607042-0,800Do000000x96cIAA,Manual,Arcade Electric,7023211,2022-01-01,2023-12-31,2024 - Arcade Electric - Renewal,Discovery
2607439-0,800Do000000x96dIAA,Manual,"Talley Brothers Plumbing & Heating, Inc.",7023212,2021-09-01,2023-08-31,"2023 - Talley Brothers Plumbing & Heating, Inc. - Renewal",Discovery
2610448-1,800Do000000x96fIAA,Auto,A. DeLuca Paving,7023214,2023-02-01,2025-01-31,2025 - A. DeLuca Paving - Renewal,Discovery
261195-0,800Do000000x96iIAA,Auto,"Boston Builders, Inc.",7023217,2023-01-01,2024-12-31,"2025 - Boston Builders, Inc. - Renewal",Discovery
261612-0,800Do000000x96jIAA,Manual,CRESTVIEW CONSTRUCTION INC,7023218,2022-03-01,2024-02-29,2023 - Crestview Construction Inc - Dodge Renewal,Solution/Value
2622517-0,800Do000000x96lIAA,Auto,"Insulation Technologies, Inc.",7023220,2023-01-01,2023-12-31,"2024 - Insulation Technologies, Inc. - Renewal",Discovery
262449-0,800Do000000x96mIAA,Manual,A-1 Bracket Group Inc.,7023221,2022-01-01,2023-12-31,2024 - A-1 Bracket Group Inc. - Renewal,Discovery
2628609-0,800Do000000x96oIAA,Manual,"Rininger Excavating, Inc.",7023223,2022-03-01,2024-02-29,"2024 - Rininger Excavating, Inc. - Renewal",Discovery
2630249-1,800Do000000x96pIAA,Manual,Seasonal Concepts Contractors Inc.,7023224,2021-07-01,2023-06-30,2023-Seasonal Concepts Contractors Inc.- BB Renewal,Solution/Value
263806-0,800Do000000x96rIAA,Manual,Mechanical Optimizers LLC,7023226,2021-06-01,2023-05-31,"2023-Mechanical Optimizers, Inc.- BB Renewal",Solution/Value
264266-0,800Do000000x96tIAA,Manual,"J. Wilhelm Roofing Company, Inc.",7023228,2022-01-01,2023-12-31,"2024 - J. Wilhelm Roofing Company, Inc. - Renewal",Discovery
266862-2,800Do000000x96yIAA,Manual,AMX Construction & Specialty Services,7023233,2022-09-01,2024-08-31,2024 - AMX Construction & Specialty Services - Renewal,Discovery
