BBAccts,BBAcct,BBVisit,Stats, Reviewing, Bidding,Time on App (minutes),PageViews,List Code, ProView Views, Not Interested, StartDate, EndDate,ARCV,TCV,,Expired Contracts
8614182,8614182-0,,Review:0  BId:0  Tmins: PageViews:,0,0,,,SubContractor/Supplier,6233,0,2/1/2021,1/31/2023,"$2,880.00 ","$5,760.00 ",,
8615514,8615514-0,5/16/2023 15:38,Review:26  BId:7  Tmins:49 PageViews:33,26,7,49,33,SubContractor/Supplier,1581,0,2/1/2021,1/31/2023,"$1,866.00 ","$3,732.00 ",,
8616217,8616217-0,3/10/2023 13:08,Review:6  BId:3  Tmins:25 PageViews:7,6,3,25,7,SubContractor/Supplier,3200,0,2/1/2021,1/31/2023,"$5,220.00 ","$10,440.00 ",,
8617825,8617825-0,,Review:2  BId:0  Tmins: PageViews:,2,0,,,SubContractor/Supplier,6452,0,2/1/2021,1/31/2023,"$2,370.00 ","$4,740.00 ",,
8617846,8617846-0,5/4/2023 15:14,Review:1  BId:0  Tmins:1 PageViews:1,1,0,1,1,SubContractor/Supplier,5885,0,2/1/2021,1/31/2023,"$2,880.00 ","$5,760.00 ",,
8617870,8617870-0,5/10/2023 16:39,Review:20  BId:0  Tmins:17 PageViews:9,20,0,17,9,SubContractor/Supplier,1508,0,2/1/2021,1/31/2023,"$3,360.00 ","$6,720.00 ",,
8618359,8618359-0,2/27/2023 9:46,Review:21  BId:0  Tmins:9 PageViews:4,21,0,9,4,SubContractor/Supplier,2694,0,2/1/2021,1/31/2023,"$1,200.00 ","$2,400.00 ",,
8618696,8618696-0,1/10/2023 13:05,Review:4  BId:0  Tmins:2 PageViews:2,4,0,2,2,SubContractor/Supplier,5326,0,2/1/2021,1/31/2023,"$2,880.00 ","$5,760.00 ",,
8769404,8769404-0,5/12/2023 6:34,Review:16  BId:1  Tmins:76 PageViews:9,16,1,76,9,SubContractor/Supplier,417,5,2/1/2022,1/31/2023,"$1,200.00 ","$1,200.00 ",,
8857212,8857212-0,,Review:0  BId:0  Tmins: PageViews:,0,0,,,Prime Subcontractors,1668,0,2/1/2022,1/31/2023,"$1,740.00 ","$1,740.00 ",,
8863368,8863368-0,,Review:47  BId:0  Tmins: PageViews:,47,0,,,General Contractors,1190,0,2/1/2022,1/31/2023,"$1,740.00 ","$1,740.00 ",,
267673,267673-0,5/10/2023 21:43,Review:18  BId:2  Tmins:62 PageViews:30,18,2,62,30,SubContractor/Supplier,25497,1,3/1/2022,2/28/2023,"$6,909.30 ","$6,909.30 ",,
416507,416507-0,5/16/2023 9:03,Review:40  BId:16  Tmins:231 PageViews:79,40,16,231,79,Prime Subcontractors,28039,71,3/1/2022,2/28/2023,"$4,605.00 ","$4,605.00 ",,
468411,468411-0,,Review:0  BId:0  Tmins: PageViews:,0,0,,,SubContractor/Supplier,2298,0,3/1/2021,2/28/2023,"$4,272.00 ","$8,544.00 ",,
542021,542021-0,1/10/2023 13:49,Review:4  BId:0  Tmins:1 PageViews:1,4,0,1,1,SubContractor/Supplier,1469,0,3/1/2022,2/28/2023,"$2,940.00 ","$2,940.00 ",,
636807,636807-0,5/15/2023 19:06,Review:23  BId:12  Tmins:63 PageViews:40,23,12,63,40,SubContractor/Supplier,1363,29,3/1/2021,2/28/2023,"$1,200.00 ","$2,400.00 ",,
749964,749964-0,2/23/2023 15:52,Review:32  BId:2  Tmins:6 PageViews:0,32,2,6,0,SubContractor/Supplier,2191,12,3/1/2022,2/28/2023,"$1,740.00 ","$1,740.00 ",,
972796,972796-0,,Review:0  BId:0  Tmins: PageViews:,0,0,,,SubContractor/Supplier,7283,0,3/1/2021,2/28/2023,"$2,880.00 ","$5,760.00 ",,
1030331,1030331-0,4/26/2023 15:49,Review:32  BId:4  Tmins:135 PageViews:61,32,4,135,61,Prime Subcontractors,2689,0,3/1/2022,2/28/2023,"$1,866.00 ","$1,866.00 ",,
1095331,1095331-0,3/13/2023 10:46,Review:2  BId:4  Tmins:25 PageViews:11,2,4,25,11,SubContractor/Supplier,2147,0,3/1/2022,2/28/2023,"$1,800.00 ","$1,800.00 ",,
1973175,1973175-0,,Review:1  BId:0  Tmins: PageViews:,1,0,,,General Contractors,23060,0,3/1/2021,2/28/2023,"$2,880.00 ","$5,760.00 ",,
4517728,4517728-0,5/6/2023 9:11,Review:4  BId:1  Tmins:21 PageViews:5,4,1,21,5,SubContractor/Supplier,11169,0,3/1/2022,2/28/2023,"$2,880.00 ","$2,880.00 ",,
5214845,5214845-0,5/4/2023 11:25,Review:6  BId:0  Tmins:36 PageViews:10,6,0,36,10,SubContractor/Supplier,10130,2,3/1/2021,2/28/2023,"$3,762.00 ","$7,524.00 ",,
5743843,5743843-0,4/3/2023 17:36,Review:0  BId:0  Tmins:10 PageViews:1,0,0,10,1,SubContractor/Supplier,19233,1,3/1/2021,2/28/2023,"$4,140.00 ","$8,280.00 ",,
5749887,5749887-0,5/2/2023 8:46,Review:0  BId:8  Tmins:10 PageViews:7,0,8,10,7,SubContractor/Supplier,14393,0,3/1/2021,2/28/2023,"$10,108.80 ","$20,217.60 ",,
5778851,5778851-0,,Review:5  BId:0  Tmins: PageViews:,5,0,,,SubContractor/Supplier,578,2,3/1/2021,2/28/2023,"$4,140.00 ","$8,280.00 ",,
5905024,5905024-0,,Review:2  BId:0  Tmins: PageViews:,2,0,,,SubContractor/Supplier,13173,0,3/1/2021,2/28/2023,"$1,740.00 ","$3,480.00 ",,
6426731,6426731-0,1/9/2023 14:26,Review:0  BId:0  Tmins:10 PageViews:0,0,0,10,0,SubContractor/Supplier,4440,0,3/1/2021,2/28/2023,"$3,252.00 ","$6,504.00 ",,
6529342,6529342-0,1/18/2023 10:25,Review:0  BId:0  Tmins:2 PageViews:0,0,0,2,0,SubContractor/Supplier,8776,0,3/1/2021,2/28/2023,"$3,168.00 ","$6,336.00 ",,
6532113,6532113-0,3/15/2023 13:36,Review:12  BId:0  Tmins:30 PageViews:3,12,0,30,3,SubContractor/Supplier,4439,0,3/1/2021,2/28/2023,"$7,620.00 ","$15,240.00 ",,
6911858,6911858-0,5/8/2023 13:11,Review:20  BId:1  Tmins:31 PageViews:11,20,1,31,11,SubContractor/Supplier,14946,1,3/1/2021,2/28/2023,"$1,200.00 ","$2,400.00 ",,
6986609,6986609-0,1/26/2023 16:17,Review:5  BId:0  Tmins:2 PageViews:2,5,0,2,2,SubContractor/Supplier,2599,0,3/1/2021,2/28/2023,"$4,719.60 ","$9,439.20 ",,
7072829,7072829-0,1/30/2023 10:55,Review:1  BId:0  Tmins:1 PageViews:0,1,0,1,0,Prime Subcontractors,2256,0,3/1/2022,2/28/2023,"$1,740.00 ","$1,740.00 ",,
7314941,7314941-0,4/19/2023 10:43,Review:26  BId:9  Tmins:30 PageViews:12,26,9,30,12,SubContractor/Supplier,10046,1,3/1/2022,2/28/2023,"$1,596.00 ","$1,596.00 ",,
7395227,7395227-0,5/16/2023 7:08,Review:2  BId:5  Tmins:1 PageViews:0,2,5,1,0,SubContractor/Supplier,923,224,3/1/2022,2/28/2023,"$1,740.00 ","$1,740.00 ",,
7668135,7668135-0,,Review:0  BId:0  Tmins: PageViews:,0,0,,,SubContractor/Supplier,3112,0,3/1/2021,2/28/2023,"$1,200.00 ","$2,400.00 ",,
7678053,7678053-0,,Review:1  BId:0  Tmins: PageViews:,1,0,,,SubContractor/Supplier,18592,0,3/1/2021,2/28/2023,"$1,740.00 ","$3,480.00 ",,
7680679,7680679-0,5/16/2023 17:04,Review:35  BId:2  Tmins:56 PageViews:17,35,2,56,17,SubContractor/Supplier,9008,0,3/1/2021,2/28/2023,"$3,499.80 ","$6,999.60 ",,
7816455,7816455-0,4/3/2023 18:04,Review:19  BId:1  Tmins:16 PageViews:3,19,1,16,3,SubContractor/Supplier,2720,0,3/1/2021,2/28/2023,"$2,772.00 ","$5,544.00 ",,
7838678,7838678-0,,Review:6  BId:2  Tmins: PageViews:,6,2,,,SubContractor/Supplier,36630,2,3/1/2021,2/28/2023,"$2,700.00 ","$5,400.00 ",,
7872810,7872810-0,,Review:0  BId:0  Tmins: PageViews:,0,0,,,General Contractors,4620,0,3/1/2021,2/28/2023,"$1,668.00 ","$3,336.00 ",,
7878063,7878063-0,2/22/2023 23:08,Review:1  BId:0  Tmins:1 PageViews:1,1,0,1,1,Prime Subcontractors,1372,0,3/1/2022,2/28/2023,"$1,740.00 ","$1,740.00 ",,
7883907,7883907-0,4/27/2023 10:07,Review:40  BId:70  Tmins:22 PageViews:15,40,70,22,15,SubContractor/Supplier,2999,1,3/1/2022,2/28/2023,"$1,200.00 ","$1,200.00 ",,
7883918,7883918-0,5/15/2023 18:27,Review:31  BId:0  Tmins:1 PageViews:1,31,0,1,1,SubContractor/Supplier,6611,4,3/1/2021,2/28/2023,"$1,668.00 ","$3,336.00 ",,
7916714,7916714-0,2/14/2023 18:06,Review:0  BId:0  Tmins:14 PageViews:1,0,0,14,1,Prime Subcontractors,4060,0,3/1/2021,2/28/2023,"$9,720.00 ","$19,440.00 ",,
7968325,7968325-0,,Review:7  BId:1  Tmins: PageViews:,7,1,,,Prime Subcontractors,1644,1,3/1/2022,2/28/2023,"$3,195.00 ","$3,195.00 ",,
8212549,8212549-0,,Review:0  BId:0  Tmins: PageViews:,0,0,,,SubContractor/Supplier,5442,0,3/1/2021,2/28/2023,"$1,200.00 ","$2,400.00 ",,
8279138,8279138-0,4/6/2023 18:23,Review:7  BId:2  Tmins:17 PageViews:14,7,2,17,14,SubContractor/Supplier,13097,0,3/1/2021,2/28/2023,"$1,980.00 ","$3,960.00 ",,
8300394,8300394-0,5/15/2023 10:51,Review:30  BId:1  Tmins:79 PageViews:50,30,1,79,50,SubContractor/Supplier,9777,1,3/1/2021,2/28/2023,"$1,668.00 ","$3,336.00 ",,
8311016,8311016-0,2/23/2023 12:33,Review:111  BId:1  Tmins:19 PageViews:14,111,1,19,14,SubContractor/Supplier,3050,0,3/1/2022,2/28/2023,"$2,880.00 ","$2,880.00 ",,
8415023,8415023-0,5/12/2023 11:34,Review:12  BId:2  Tmins:58 PageViews:34,12,2,58,34,SubContractor/Supplier,4057,0,3/1/2022,2/28/2023,"$2,700.00 ","$2,700.00 ",,
8481327,8481327-0,,Review:3  BId:2  Tmins: PageViews:,3,2,,,SubContractor/Supplier,3728,3,3/1/2021,2/28/2023,"$2,880.00 ","$5,760.00 ",,
8508283,8508283-0,2/27/2023 12:14,Review:1  BId:0  Tmins:5 PageViews:0,1,0,5,0,SubContractor/Supplier,343,0,3/1/2021,2/28/2023,"$1,980.00 ","$3,960.00 ",,
8535631,8535631-0,,Review:1  BId:0  Tmins: PageViews:,1,0,,,Prime Subcontractors,1303,0,3/1/2021,2/28/2023,"$2,880.00 ","$5,760.00 ",,
8537596,8537596-0,5/12/2023 14:35,Review:10  BId:1  Tmins:43 PageViews:27,10,1,43,27,SubContractor/Supplier,25534,0,3/1/2021,2/28/2023,"$1,866.00 ","$3,732.00 ",,
8549673,8549673-0,5/12/2023 8:17,Review:29  BId:23  Tmins:23 PageViews:0,29,23,23,0,SubContractor/Supplier,654,1,3/1/2022,2/28/2023,"$1,740.00 ","$1,740.00 ",,
8595031,8595031-0,2/9/2023 15:18,Review:1  BId:1  Tmins:3 PageViews:0,1,1,3,0,SubContractor/Supplier,7392,1,3/1/2021,2/28/2023,"$1,200.00 ","$2,400.00 ",,
8600310,8600310-0,,Review:10  BId:0  Tmins: PageViews:,10,0,,,Prime Subcontractors,3208,1,3/1/2022,2/28/2023,"$1,740.00 ","$1,740.00 ",,
8600566,8600566-0,,Review:0  BId:0  Tmins: PageViews:,0,0,,,SubContractor/Supplier,7825,1,3/1/2022,2/28/2023,"$1,740.00 ","$1,740.00 ",,
8612251,8612251-0,5/16/2023 8:57,Review:14  BId:0  Tmins:20 PageViews:9,14,0,20,9,SubContractor/Supplier,6858,1,3/1/2021,2/28/2023,"$1,200.00 ","$2,400.00 ",,
8618482,8618482-0,4/17/2023 16:19,Review:2  BId:0  Tmins:1 PageViews:1,2,0,1,1,SubContractor/Supplier,2121,0,3/1/2021,2/28/2023,"$1,200.00 ","$2,400.00 ",,
8619506,8619506-0,,Review:9  BId:0  Tmins: PageViews:,9,0,,,SubContractor/Supplier,4862,1,3/1/2021,2/28/2023,"$1,200.00 ","$2,400.00 ",,
8620493,8620493-0,,Review:0  BId:0  Tmins: PageViews:,0,0,,,SubContractor/Supplier,19220,0,3/1/2021,2/28/2023,"$5,676.00 ","$11,352.00 ",,
8620939,8620939-0,,Review:0  BId:0  Tmins: PageViews:,0,0,,,SubContractor/Supplier,3484,0,3/1/2021,2/28/2023,"$1,200.00 ","$2,400.00 ",,
8622899,8622899-0,,Review:0  BId:1  Tmins: PageViews:,0,1,,,SubContractor/Supplier,1342,0,3/1/2021,2/28/2023,"$2,880.00 ","$5,760.00 ",,
8623165,8623165-0,,Review:0  BId:0  Tmins: PageViews:,0,0,,,SubContractor/Supplier,6124,0,3/1/2021,2/28/2023,"$2,880.00 ","$5,760.00 ",,
8624729,8624729-0,,Review:1  BId:0  Tmins: PageViews:,1,0,,,SubContractor/Supplier,17167,0,3/1/2021,2/28/2023,"$1,740.00 ","$3,480.00 ",,
8625266,8625266-0,3/24/2023 15:17,Review:12  BId:2  Tmins:88 PageViews:40,12,2,88,40,SubContractor/Supplier,5697,0,3/1/2021,2/28/2023,"$1,740.00 ","$3,480.00 ",,
8751482,8751482-0,5/14/2023 8:00,Review:21  BId:10  Tmins:27 PageViews:11,21,10,27,11,SubContractor/Supplier,1027,0,3/1/2022,2/28/2023,"$2,370.00 ","$2,370.00 ",,
8825529,8825529-0,4/4/2023 7:19,Review:0  BId:0  Tmins:1 PageViews:0,0,0,1,0,SubContractor/Supplier,2523,0,3/1/2022,2/28/2023,"$1,740.00 ","$1,740.00 ",,
8851388,8851388-0,3/14/2023 17:17,Review:5  BId:1  Tmins:3 PageViews:1,5,1,3,1,SubContractor/Supplier,894,0,3/1/2022,2/28/2023,"$2,220.00 ","$2,220.00 ",,
8852757,8852757-0,4/6/2023 12:56,Review:15  BId:0  Tmins:3 PageViews:3,15,0,3,3,Prime Subcontractors,1885,42,3/1/2022,2/28/2023,"$2,370.00 ","$2,370.00 ",,
8858717,8858717-0,3/10/2023 10:00,Review:20  BId:2  Tmins:122 PageViews:21,20,2,122,21,SubContractor/Supplier,843,1,3/1/2022,2/28/2023,"$1,200.00 ","$1,200.00 ",,
8859760,8859760-0,,Review:2  BId:0  Tmins: PageViews:,2,0,,,Prime Subcontractors,3670,0,3/1/2022,2/28/2023,"$3,120.00 ","$3,120.00 ",,
8860906,8860906-0,,Review:1  BId:0  Tmins: PageViews:,1,0,,,Prime Subcontractors,2379,0,3/1/2022,2/28/2023,"$2,900.00 ","$3,480.00 ",,
8865569,8865569-0,2/10/2023 11:33,Review:13  BId:0  Tmins:1 PageViews:0,13,0,1,0,General Contractors,9322,0,3/1/2022,2/28/2023,"$2,700.00 ","$2,700.00 ",,
8871685,8871685-0,5/12/2023 16:10,Review:47  BId:4  Tmins:9 PageViews:3,47,4,9,3,SubContractor/Supplier,1269,0,3/1/2022,2/28/2023,"$5,220.00 ","$5,220.00 ",,
8872488,8872488-0,2/8/2023 9:51,Review:14  BId:0  Tmins:1 PageViews:1,14,0,1,1,General Contractors,16391,0,3/1/2022,2/28/2023,"$1,740.00 ","$1,740.00 ",,
8874112,8874112-0,5/12/2023 9:58,Review:130  BId:5  Tmins:233 PageViews:153,130,5,233,153,SubContractor/Supplier,715,5,3/1/2022,2/28/2023,"$1,740.00 ","$1,740.00 ",,
8874365,8874365-0,,Review:4  BId:0  Tmins: PageViews:,4,0,,,SubContractor/Supplier,12309,0,3/1/2022,2/28/2023,"$3,180.00 ","$3,180.00 ",,
136672,136672-0,3/30/2023 17:33,Review:0  BId:0  Tmins:4 PageViews:0,0,0,4,0,SubContractor/Supplier,3344,0,4/1/2021,3/31/2023,"$1,200.00 ","$2,400.00 ",,
252205,252205-0,,Review:0  BId:0  Tmins: PageViews:,0,0,,,SubContractor/Supplier,4026,0,4/1/2021,3/31/2023,"$1,596.00 ","$3,192.00 ",,
317074,317074-0,3/2/2023 11:26,Review:5  BId:0  Tmins:11 PageViews:2,5,0,11,2,SubContractor/Supplier,21401,0,4/1/2021,3/31/2023,"$6,528.60 ","$13,057.20 ",,
342393,342393-0,4/25/2023 16:00,Review:0  BId:0  Tmins:2 PageViews:0,0,0,2,0,SubContractor/Supplier,10080,0,4/1/2021,3/31/2023,"$3,762.00 ","$7,524.00 ",,
425908,425908-0,4/26/2023 12:00,Review:5  BId:0  Tmins:8 PageViews:5,5,0,8,5,SubContractor/Supplier,7809,0,4/1/2021,3/31/2023,"$4,440.00 ","$8,880.00 ",,
668780,668780-0,5/10/2023 12:01,Review:24  BId:3  Tmins:52 PageViews:29,24,3,52,29,SubContractor/Supplier,76427,1,4/1/2021,3/31/2023,"$5,778.00 ","$11,556.00 ",,
737620,737620-0,,Review:2  BId:0  Tmins: PageViews:,2,0,,,SubContractor/Supplier,5521,1,4/1/2021,3/31/2023,"$2,772.00 ","$5,544.00 ",,
806319,806319-0,,Review:0  BId:1  Tmins: PageViews:,0,1,,,SubContractor/Supplier,4941,0,4/1/2021,3/31/2023,"$15,120.00 ","$30,240.00 ",,
845611,845611-0,,Review:3  BId:0  Tmins: PageViews:,3,0,,,SubContractor/Supplier,19178,0,4/1/2021,3/31/2023,"$2,856.00 ","$5,712.00 ",,
968584,968584-0,5/8/2023 14:20,Review:33  BId:0  Tmins:8 PageViews:0,33,0,8,0,SubContractor/Supplier,25412,0,4/1/2021,3/31/2023,"$5,762.70 ","$11,525.40 ",,
2110472,2110472-0,,Review:3  BId:0  Tmins: PageViews:,3,0,,,SubContractor/Supplier,10021,2,4/1/2021,3/31/2023,"$1,596.00 ","$3,192.00 ",,
2287345,2287345-0,,Review:1  BId:0  Tmins: PageViews:,1,0,,,SubContractor/Supplier,12852,1,4/1/2021,3/31/2023,"$2,604.00 ","$5,208.00 ",,
4308849,4308849-0,4/17/2023 20:14,Review:6  BId:2  Tmins:14 PageViews:1,6,2,14,1,SubContractor/Supplier,23240,1,4/1/2021,3/31/2023,"$13,623.00 ","$27,246.00 ",,
4793055,4793055-0,,Review:0  BId:0  Tmins: PageViews:,0,0,,,SubContractor/Supplier,5756,0,4/1/2021,3/31/2023,"$12,246.12 ","$24,492.24 ",,
5152983,5152983-0,1/25/2023 7:08,Review:0  BId:0  Tmins:4 PageViews:0,0,0,4,0,SubContractor/Supplier,35994,0,4/1/2021,3/31/2023,"$2,394.00 ","$4,788.00 ",,
5177405,5177405-0,,Review:0  BId:0  Tmins: PageViews:,0,0,,,SubContractor/Supplier,12054,0,4/1/2021,3/31/2023,"$1,200.00 ","$2,400.00 ",,
5324615,5324615-0,4/13/2023 13:13,Review:1  BId:1  Tmins:8 PageViews:0,1,1,8,0,SubContractor/Supplier,3139,0,4/1/2022,3/31/2023,"$2,340.00 ","$2,340.00 ",,
5471735,5471735-0,2/22/2023 14:51,Review:6  BId:2  Tmins:8 PageViews:6,6,2,8,6,SubContractor/Supplier,3461,8,4/1/2021,3/31/2023,"$3,933.00 ","$7,866.00 ",,
5593010,5593010-0,5/4/2023 13:09,Review:10  BId:0  Tmins:2 PageViews:0,10,0,2,0,SubContractor/Supplier,4266,5,4/1/2021,3/31/2023,"$4,272.00 ","$8,544.00 ",,
5788551,5788551-0,3/21/2023 21:49,Review:5  BId:2  Tmins:7 PageViews:1,5,2,7,1,SubContractor/Supplier,2815,0,4/1/2022,3/31/2023,"$1,200.00 ","$1,200.00 ",,
5816141,5816141-0,,Review:1  BId:0  Tmins: PageViews:,1,0,,,SubContractor/Supplier,9328,0,4/1/2021,3/31/2023,"$4,098.60 ","$8,197.20 ",,
5946002,5946002-0,3/17/2023 18:45,Review:7  BId:5  Tmins:3 PageViews:1,7,5,3,1,Prime Subcontractors,9268,1,4/1/2021,3/31/2023,"$3,873.00 ","$7,746.00 ",,
6036907,6036907-0,4/4/2023 10:04,Review:40  BId:7  Tmins:264 PageViews:79,40,7,264,79,SubContractor/Supplier,5301,0,4/1/2021,3/31/2023,"$1,668.00 ","$3,336.00 ",,
6153998,6153998-0,4/23/2023 3:45,Review:20  BId:0  Tmins:5 PageViews:5,20,0,5,5,SubContractor/Supplier,7103,0,4/1/2021,3/31/2023,"$2,148.00 ","$4,296.00 ",,
6230644,6230644-0,5/16/2023 12:46,Review:0  BId:0  Tmins:3 PageViews:0,0,0,3,0,SubContractor/Supplier,9457,0,4/1/2021,3/31/2023,"$2,772.00 ","$5,544.00 ",,
6388969,6388969-0,5/16/2023 12:13,Review:8  BId:144  Tmins:69 PageViews:70,8,144,69,70,SubContractor/Supplier,1836,95,4/1/2021,3/31/2023,"$2,199.00 ","$4,398.00 ",,
6407817,6407817-0,2/3/2023 11:30,Review:0  BId:0  Tmins:2 PageViews:0,0,0,2,0,SubContractor/Supplier,4053,0,4/1/2021,3/31/2023,"$3,096.00 ","$6,192.00 ",,
6667838,6667838-0,1/18/2023 11:47,Review:13  BId:0  Tmins:1 PageViews:1,13,0,1,1,Prime Subcontractors,32165,0,4/1/2021,3/31/2023,"$6,723.00 ","$13,446.00 ",,
6681328,6681328-0,,Review:3  BId:0  Tmins: PageViews:,3,0,,,SubContractor/Supplier,533,0,4/1/2021,3/31/2023,"$2,370.00 ","$4,740.00 ",,
7009877,7009877-0,3/29/2023 16:47,Review:17  BId:3  Tmins:3 PageViews:3,17,3,3,3,SubContractor/Supplier,8227,0,4/1/2021,3/31/2023,"$4,740.00 ","$9,480.00 ",,
7124067,7124067-0,,Review:0  BId:0  Tmins: PageViews:,0,0,,,SubContractor/Supplier,2350,0,4/1/2021,3/31/2023,"$2,880.00 ","$5,760.00 ",,
7124814,7124814-0,5/5/2023 11:04,Review:36  BId:10  Tmins:70 PageViews:24,36,10,70,24,General Contractors,15573,10,4/1/2021,3/31/2023,"$2,220.00 ","$4,440.00 ",,
7156646,7156646-0,,Review:1  BId:0  Tmins: PageViews:,1,0,,,Prime Subcontractors,6193,0,4/1/2021,3/31/2023,"$3,240.00 ","$6,480.00 ",,
