External_Id__c,SBQQ__Field__c,SBQQ__Formula__c,SBQQ__Order__c,SBQQ__Rule__r.External_Id__c,SBQQ__RuleLookupObject__c,SBQQ__SourceLookupField__c,SBQQ__SourceVariable__r.External_Id__c,SBQQ__TargetObject__c,SBQQ__Value__c,SBQQ__ValueField__c
EX-000032,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""IMS Invoice Descriptions""",30,EX-000007,,,,Quote Line,,
EX-000033,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""BB Invoice Descriptions""",,EX-000028,,,,Quote Line,,
EX-000036,DCC_Geo_List_Price__c,,,EX-000025,,,,Quote Line,,SBQQ__ListPrice__c
EX-000037,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""IMS Nationwide Pricing""",,EX-000009,,,,Quote Line,,
EX-000038,Print_Product_Count__c,,,EX-000005,,,EX-000007,Quote,,
EX-000039,Invoice_Description__c,"Invoice_Description__c &  
IF(ISBLANK(Geo__c) || TEXT(Geo__c) = ""Local/MSA"", """", BR() &  ""Geo: "" & Geo__c) &
IF(ISBLANK(TBB_Region__c), """", BR() & ""Region: "" & TBB_Region__c) & 
IF(ISBLANK(TBB_Class__c), """", BR() &""Class: "" &  TBB_Class__c)",,EX-000028,,,,Quote Line,,
EX-000041,SBQQ__ListPrice__c,"DCC_Geo_List_Price__c * 

IF((Project_Type_Multiplier__c + Project_Category_Multiplier__c > 1) || (Project_Type_Multiplier__c + Project_Category_Multiplier__c = 0), 1, 
Project_Type_Multiplier__c + Project_Category_Multiplier__c)",,EX-000021,,,,Quote Line,,
EX-000042,Project_Type_Multiplier__c,"IF(ISBLANK(Project_Type__c), 1,
IF(INCLUDES(Project_Type__c,""GB - Office Building""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Retail""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Industrial Facilities""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Warehouses""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Leisure/Other""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Medical Facilities""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Multi-family""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Hotel/Motel/Dormitories""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Government Facilities""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Educational Facilities""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Transportation""),0.3,0)+
IF(INCLUDES(Project_Type__c,""Eng - Streets & Bridges""),0.3,0)+
IF(INCLUDES(Project_Type__c,""Eng - Engineering Other""),0.3,0)+
IF(INCLUDES(Project_Type__c,""Utilities - Public Works""),0.3,0)+
IF(INCLUDES(Project_Type__c,""Utilities - Power Generation""),0.3,0)+
IF(INCLUDES(Project_Type__c,""H - Single Family""),0.3,0)


)",,EX-000013,,,,Quote Line,,
EX-000043,SBQQ__ListPrice__c,"IF(SBQQ__RequiredBy__r.SBQQ__ProductCode__c = ""NETNP-WRAPPER"", 
SBQQ__Product__r.USD_News_and_Plans_Price__c,
SBQQ__Product__r.USD_News_Price_or_Plans_Price__c)",,EX-000008,,,,Quote Line,,
EX-000044,History_or_Forecast_Multiplier__c,"IF(TEXT(History_or_Forecast__c) = ""History & Forecast"", 1.25, 1)",,EX-000013,,,,Quote Line,,
EX-000045,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Set Multiple Ship To Addresses""",,EX-000024,,,,Quote Line,,
EX-000046,Invoice_Description__c,"Invoice_Description__c & BR() & 
""Ad #: "" & Ad__c & BR() &

""Ad Caption: "" & Ad_Caption__c & BR() &

""Ad Size: "" & Ad_Inches__c & "" "" & Ad_Size__c & BR() &

""Issue Date: "" & Issue_Date_Text__c",,EX-000038,,,,Quote Line,,
EX-000047,Invoice_Comments__c,"""Ad Caption: "" & Ad_Caption__c",,EX-000016,,,,Quote Line,,
EX-000048,AVA_SFCPQ__Quote_AutomateTaxCalculation__c,,,EX-000015,,,,Quote,True,
EX-000049,Project_Category_Multiplier__c,"IF(ISBLANK(TEXT(Project_Category__c)), 1, 0.8)",,EX-000013,,,,Quote Line,,
EX-000050,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Media Invoice Descriptions""",,EX-000038,,,,Quote Line,,
EX-000051,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Set DCC Geo List Price :""  & Text(SBQQ__ListPrice__c)",,EX-000025,,,,Quote Line,,
EX-000052,Horizon_Contract_Number__c,Parent_Horizon_Contract_Number__c,,EX-000029,,,,Quote Line,,
EX-000053,SBQQ__NetPrice__c,"(SBQQ__UpgradedSubscription__r.SBQQ__NetPrice__c*SBQQ__ProrateMultiplier__c)*IF(SBQQ__Quantity__c < SBQQ__PriorQuantity__c, -1, 1)",30,EX-000010,,,,Quote Line,,
EX-000055,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Set Initial ARR""",,EX-000019,,,,Quote Line,,
EX-000056,Invoice_Description_Lines_Count__c,,,EX-000005,,,EX-000014,Quote,,
EX-000059,PDF_Sub_Line_Description__c,State_Picklist_Label_Values__c,20,EX-000007,,,,Quote Line,,
EX-000060,Project_Level_of_Detail_Multiplier__c,"IF(ISBLANK(Project_Level_of_Detail__c), 1,

CASE(TEXT(Project_Level_of_Detail__c), 
""Summary only"", 0.4, 
""By Project Type"", 1,
1)

)",,EX-000013,,,,Quote Line,,
EX-000062,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit__c & BR() & ""Media Invoice Comments""",,EX-000016,,,,Quote Line,,
EX-000064,Invoice_Comments__c,Ad_Caption__c,,EX-000038,,,,Quote Line,,
EX-000066,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Slab Pricing Cancellation""",,EX-000010,,,,Quote Line,,
EX-000067,Count_of_Unsegmented_Lines__c,,,EX-000067,,,EX-000013,Quote,,
EX-000068,Match_Confirmed__c,,1,EX-000035,,,,Quote Line,True,
EX-000072,Bluebook_Product_Count__c,,,EX-000005,,,EX-000005,Quote,,
EX-000073,Horizon_Product_Count__c,,,EX-000005,,,EX-000008,Quote,,
EX-20230328.01,SBQQ__UpliftAmount__c,,10,EX-20230320.4,,,,Quote Line,,
EX-20230328.05,SBQQ__ListPrice__c,List_Price_Option_PriceBook__c,10,EX-20230328.02,,,,Quote Line,,
EX-20230328.07,SBQQ__Uplift__c,,20,EX-20230320.4,,,,Quote Line,,
EX-20230328.20,SBQQ__AdditionalDiscountAmount__c,,10,EX-20230320.2,,,,Quote Line,,
EX-20230328.21,Discount (Amt),,10,EX-20230320.2,,,,Quote Line,,
EX-20230328.22,SBQQ__Discount__c,,30,EX-20230320.2,,,,Quote Line,,
EX-20230401.01,SBQQ__Quantity__c,,,EX-20230328.01,,,,Quote Line,0,
EX-20230401.04,SBQQ__Quantity__c,,,EX-20230320.30,,,,Quote Line,0,
EX-20230401.20,Geo__c,,10,EX-20230320.3,,,,Quote Line,,
EX-20230401.22,Geo__c,,10,EX-20230302.0,,,,Quote Line,NBD,
EX-20230405.05,Count_of_Invalid_Seats__c,,,EX-20230505.02,,,,Quote,true,
EX-20230413.22,SBQQ__Discount__c,,,EX-20230413.01,,,,Quote Line,100,
EX-20230511.06,SPV__c,""";"" & TEXT(  SBQQ__RequiredBy__r.States__c  ) & "";""",10,EX-20230511.01,,,,Quote Line,,
EX-20230511.10,PDF_Sub_Line_Description__c,State_Picklist_Label_Values__c,20,EX-20230511.01,,,,Quote Line,,
EX-20230515.055,Count_Of_Missing_GEOs__c,,10,EX-000005,,,EX-20230505.02,Quote,,
EX-20230515.35,Count_of_Invalid_Seats__c,,10,EX-000005,,,EX-05092023.01,Quote,,
EX-20230517.01,PR_Counter__c,"blankvalue ( PR_Counter__c,0)  + 1",10,EX-20230517.01,,,,Quote Line,,
EX-20230518.10,SBQQ__Discount__c,SBQQ__Group__r.Group_Discount_Rate__c,30,EX-20230518.01,,,,Quote Line,,
EX-20230518.35,SBQQ__Discount__c,SBQQ__Quote__r.Quote_Discount_Rate__c,30,EX-20230526.60,,,,Quote Line,,
EX-20230524.11,SBQQ__AdditionalDiscountAmount__c,,20,EX-20230526.03,,,,Quote Line,,
EX-20230524.16,Discount (Amt),,30,EX-20230526.03,,,,Quote Line,,
EX-20230524.31,SBQQ__Discount__c,,40,EX-20230526.03,,,,Quote Line,,
EX-20230526.01,Quote_Discount_Rate__c,,10,EX-20230526.01,,,,Quote,,
