Id,Name,breadwinner_ns__CompanyName__c,breadwinner_ns__InternalId__c,breadwinner_ns__ExternalId__c,breadwinner_ns__Salesforce_Account__c
a9FDo000000ToOdMAK,6073224-0,Granite Northwest Grading & Paving,414663,6073224-0,
a9FDo000000ToOeMAK,5209568-0,Plumb Tech,414665,5209568-0,
a9FDo000000ToOfMAK,252340-0,Bluestar Roofing & Waterproofing,414666,252340-0,
a9FDo000000ToOgMAK,8613929-0,Martinez Ornamental Iron,414670,8613929-0,
a9FDo000000ToNvMAK,5949797-0,City Wide Facility Solutions,414468,5949797-0,
a9FDo000000ToNwMAK,7973263-0,Noble Floors LLC,414476,7973263-0,
a9FDo000000ToNtMAK,2788971-0,Four Peaks Recreation,414461,2788971-0,
a9FDo000000ToNsMAK,7625070-0,J26 Glass Services,414459,7625070-0,
a9FDo000000ToNrMAK,8341366-0,A and J Commercial Interiors,414451,8341366-0,
a9FDo000000ToNqMAK,8567678-0,Dom & Daughters Demolition,414441,8567678-0,
a9FDo000000ToOCMA0,7672175-0,Sooner Trucking LLC,414541,7672175-0,
a9FDo000000ToOBMA0,5670253-0,Best Quality Roofing Corp.,414539,5670253-0,
a9FDo000000ToOAMA0,8049668-0,Godsend Inc.,414532,8049668-0,
a9FDo000000ToO9MAK,472746-0,"A & R Junior Glass & Windows, Inc.",414528,472746-0,
a9FDo000000ToO8MAK,8321551-0,Plumbing Solutions,414516,8321551-0,
a9FDo000000ToO7MAK,8758119-0,D.M.J. Glazing Services Inc.,414510,8758119-0,
a9FDo000000ToO6MAK,5248871-0,GL Plumbing Service,414506,5248871-0,
a9FDo000000ToO5MAK,8703620-0,Universal Technical & Construction,414501,8703620-0,
a9FDo000000ToO4MAK,8819391-0,BJJ Plumbing,414499,8819391-0,
a9FDo000000ToO3MAK,8564784-0,Stone Resources Group,414497,8564784-0,
a9FDo000000ToO2MAK,7433-0,Aurora Electric,414496,7433-0,
a9FDo000000ToO1MAK,7071104-0,"Temecula Hotel Development, Inc.",414494,7071104-0,
a9FDo000000ToO0MAK,8691687-0,Mr. Rooter,414491,8691687-0,
a9FDo000000ToNpMAK,7408760-0,DSP Services,414433,7408760-0,
a9FDo000000ToNoMAK,5222306-0,Frontline Protection Video & Security,414427,5222306-0,
a9FDo000000ToNnMAK,5768301-0,Hytek Air Systems Inc,414422,5768301-0,
a9FDo000000ToNmMAK,8316073-0,Discount Commercial Services,414405,8316073-0,
a9FDo000000ToNlMAK,8618119-0,Low Voltage Concepts,414404,8618119-0,
a9FDo000000ToNkMAK,7337300-0,Capital City Electric,414403,7337300-0,
a9FDo000000ToNjMAK,8861359-0,Utilities Of Texas Inc.,414395,8861359-0,
a9FDo000000ToNzMAK,8627442-0,AA Safety and Security Consultants,414485,8627442-0,
a9FDo000000ToNyMAK,4988015-0,Ambassador Blinds and Design Center,414483,4988015-0,
a9FDo000000ToNxMAK,7525981-0,Extreme Aerial Productions,414480,7525981-0,
a9FDo000000ToNuMAK,2611308-0,Integrated Masonry,414465,2611308-0,
a9FDo000000ToNXMA0,8884639-0,Sandra's Construction Company,414354,8884639-0,
a9FDo000000ToNWMA0,8262284-0,AO1 Roofing & Construction,414352,8262284-0,
a9FDo000000ToNVMA0,8783587-0,Romero Concrete Inc.,414347,8783587-0,
a9FDo000000ToNUMA0,4329388-0,Anchor Commercial Builders LLC,414337,4329388-0,
a9FDo000000ToNTMA0,423332-0,"All the Marbles, Inc.",414335,423332-0,
a9FDo000000ToNSMA0,129254-0,"TGE Resources, Inc.",414331,129254-0,
a9FDo000000ToNRMA0,5719328-0,Petra Flooring & Blinds LLC,414330,5719328-0,
a9FDo000000ToNQMA0,2474614-0,JM Mechanical Services,414327,2474614-0,
a9FDo000000ToNPMA0,8652725-0,JMH Construction & Building LLC,414325,8652725-0,
a9FDo000000ToNOMA0,8765255-0,Cloud Nine Installation,414321,8765255-0,
a9FDo000000ToNNMA0,7370301-0,Made in the Shade Blinds,414319,7370301-0,
a9FDo000000ToNMMA0,7785393-0,Relentless Fire Protection,414317,7785393-0,
a9FDo000000ToNLMA0,5319483-0,KBW Electric LLC,414315,5319483-0,
a9FDo000000ToNKMA0,8754916-0,GlenSource Environmental,414309,8754916-0,
a9FDo000000ToNJMA0,7224140-0,"DFW Drywall Experts, LLC",414301,7224140-0,
a9FDo000000ToNIMA0,8387507-0,"Super Dave's Landscaping, LLC",414299,8387507-0,
a9FDo000000ToNHMA0,6191585-0,Down Home Comfort,414297,6191585-0,
a9FDo000000ToNGMA0,5132724-0,Tim's Lawn Care,414288,5132724-0,
a9FDo000000ToNFMA0,8778244-0,MG Roofing & Associates LLC,414284,8778244-0,
a9FDo000000ToNiMAK,2263465-0,"LMH Plumbing, Inc.",414392,2263465-0,
a9FDo000000ToNhMAK,3640458-0,Fast Track Erectors LLC,414391,3640458-0,
a9FDo000000ToNgMAK,8887286-0,B&T Contractor,414387,8887286-0,
a9FDo000000ToNYMA0,8617329-0,Glass Gallery,414356,8617329-0,
a9FDo000000ToNeMAK,8269074-0,"Texas Best Signs, LLC",414371,8269074-0,
a9FDo000000ToNdMAK,5258510-0,Arctic Chill Air Conditioning and Heating,414367,5258510-0,
a9FDo000000ToNcMAK,1083629-0,Highland Group,414366,1083629-0,
a9FDo000000ToNbMAK,8606893-0,Orpers Painting & Remodeling LLC,414365,8606893-0,
a9FDo000000ToNaMAK,7409732-0,"G1 Mechanical, LLC",414361,7409732-0,
a9FDo000000ToNZMA0,8035117-0,Qualified Maintenance & Construction,414360,8035117-0,
a9FDo000000ToNfMAK,8608577-0,Scenic Green Landscaping LLC,414385,8608577-0,
a9FDo000000ToN3MAK,6241161-0,Rios Concrete LLC,414234,6241161-0,
a9FDo000000ToN2MAK,4985981-0,Ditch Creek Landscape LLC,414227,4985981-0,
a9FDo000000ToN5MAK,274396-0,"Crest Metal Craft, Inc.",414249,274396-0,
a9FDo000000ToN6MAK,458265-0,Diaz Drywall & Taping Company,414251,458265-0,
a9FDo000000ToN7MAK,6479855-0,Spotless Cleaning Chicago,414252,6479855-0,
a9FDo000000ToN8MAK,7247409-0,Archer's Metal Deco,414253,7247409-0,
a9FDo000000ToN9MAK,2463069-0,Kitchen Cabinets Deal,414254,2463069-0,
a9FDo000000ToNAMA0,8893550-0,Ireland Cleaning Service LLC,414257,8893550-0,
a9FDo000000ToNBMA0,8772831-0,Krown Services,414264,8772831-0,
a9FDo000000ToNCMA0,8775508-0,Four Season Refrigeration,414268,8775508-0,
a9FDo000000ToNDMA0,8877015-0,GeoForce LLC,414269,8877015-0,
a9FDo000000ToNEMA0,5781748-0,"H & G Enterprises, Inc.",414276,5781748-0,
a9FDo000000ToMlMAK,6666618-0,"Prime Contracting, LLC",414155,6666618-0,
a9FDo000000ToMmMAK,8922626-0,Young's Painting,414156,8922626-0,
a9FDo000000ToMnMAK,8574344-0,Endura Roof,414162,8574344-0,
a9FDo000000ToMoMAK,26597-0,"Best Sun Control, LLC",414171,26597-0,
a9FDo000000ToMpMAK,116147-0,All Set Lawn Care Service,414178,116147-0,
a9FDo000000ToMqMAK,8776494-0,DAAXIT,414184,8776494-0,
a9FDo000000ToMrMAK,8723665-0,Mt. Royal Investment Group,414191,8723665-0,
a9FDo000000ToMsMAK,8857212-0,Burkhamer Excavating & Demolition,414195,8857212-0,
a9FDo000000ToMtMAK,8890957-0,"Gensler, Inc.",414196,8890957-0,
a9FDo000000ToMuMAK,885444-0,High Style Painting,414198,885444-0,
a9FDo000000ToMvMAK,7137777-0,McIntyre Drywall & Painting,414201,7137777-0,
a9FDo000000ToMwMAK,24042-0,Morton Safety,414206,24042-0,
a9FDo000000ToMxMAK,6173408-0,Custom Electrical Services,414212,6173408-0,
a9FDo000000ToMyMAK,702061-0,Great Woods Cabinetry,414213,702061-0,
a9FDo000000ToMzMAK,7792049-0,Harren Companies Inc.,414216,7792049-0,
a9FDo000000ToN0MAK,825849-0,"Professional Asphalt Service, Inc.",414217,825849-0,
a9FDo000000ToN1MAK,2091373-0,"Mobile Radio Engineering, Inc.",414224,2091373-0,
a9FDo000000ToN4MAK,681022-0,"Competitive Concrete Cutting, Inc.",414239,681022-0,
a9FDo000000ToMHMA0,157169-0,A1 Safari Glass Inc.,414010,157169-0,
a9FDo000000ToMIMA0,6057091-0,"Terra Landscaping, Inc.",414014,6057091-0,
a9FDo000000ToMJMA0,8894154-0,Fox Mechanical & Welding Service,414018,8894154-0,
a9FDo000000ToMKMA0,8943907-0,All In 1 C.C. And More L.L.C.,414023,8943907-0,
a9FDo000000ToMLMA0,162201-0,Bay Area DKI,414026,162201-0,
a9FDo000000ToMMMA0,8733375-0,Apex Cool Air Conditioning Inc.,414032,8733375-0,
a9FDo000000ToMNMA0,8893890-0,Dirt Works Site & Demolition,414036,8893890-0,
a9FDo000000ToMOMA0,8043627-0,Legacy Contracting,414047,8043627-0,
a9FDo000000ToMPMA0,4465505-0,"Crystal Clear Contracting, LLC",414051,4465505-0,
a9FDo000000ToMQMA0,593899-0,J&G Construction,414055,593899-0,
a9FDo000000ToMRMA0,8925195-0,Coruscate LLC,414057,8925195-0,
a9FDo000000ToMSMA0,7532050-0,Flat Roof LLC,414063,7532050-0,
a9FDo000000ToMTMA0,8929551-0,J's Gutter Protection LLC,414065,8929551-0,
a9FDo000000ToMUMA0,2910635-0,Integrity Installations Experts LLC,414067,2910635-0,
a9FDo000000ToMVMA0,8595489-0,Cameron Buchs Excavating,414076,8595489-0,
a9FDo000000ToMWMA0,401833-0,Greater Cleveland Construction,414078,401833-0,
a9FDo000000ToMXMA0,531266-0,ForeverLawn Northern Ohio,414080,531266-0,
a9FDo000000ToMYMA0,8305734-0,Swipe Right Painting,414082,8305734-0,
a9FDo000000ToMZMA0,6311913-0,Mr. Demo,414097,6311913-0,
a9FDo000000ToMaMAK,8929313-0,New Arch Construction Design and Build,414101,8929313-0,
a9FDo000000ToMbMAK,7807133-0,Boxley Contracting Services,414105,7807133-0,
a9FDo000000ToMcMAK,872801-0,"Facility Solutions Group, Inc.",414110,872801-0,
a9FDo000000ToMdMAK,4608475-0,84 Lumber Co.,414118,4608475-0,
a9FDo000000ToMeMAK,8475077-0,Elite Stucco & EIFS Solutions,414122,8475077-0,
a9FDo000000ToMfMAK,559824-0,"Kort Builders, Inc.",414124,559824-0,
a9FDo000000ToMgMAK,984604-0,"Indiana Laundry, Inc.",414132,984604-0,
a9FDo000000ToMhMAK,5705653-0,Casey Electric LLC,414140,5705653-0,
a9FDo000000ToMiMAK,999051-0,The State Group,414143,999051-0,
a9FDo000000ToMjMAK,8929322-0,Jala Drywall and Construction Local,414150,8929322-0,
a9FDo000000ToMkMAK,8952589-0,Power Move Heavy Duty Hauling And Moving,414153,8952589-0,
a9FDo000000ToM2MAK,7280120-0,H D Roofing & Painting LLC,413915,7280120-0,
a9FDo000000ToM3MAK,8924432-0,B & S Small Job Construction,413918,8924432-0,
a9FDo000000ToM0MAK,8533318-0,BTB Electric Co.,413908,8533318-0,
a9FDo000000ToLzMAK,7848224-0,No Excuses Heating & Air,413906,7848224-0,
a9FDo000000ToLyMAK,7265033-0,UJAMAA Construction SE LLC,413905,7265033-0,
a9FDo000000ToLxMAK,8952138-0,AZMT LLC,413899,8952138-0,
a9FDo000000ToLwMAK,4720480-0,Atlantic Coast Watermain,413891,4720480-0,
a9FDo000000ToLvMAK,8569979-0,"MSquare Construction, Inc",413875,8569979-0,
a9FDo000000ToLuMAK,8768055-0,Precise Commercial Cleaning,413872,8768055-0,
a9FDo000000ToLtMAK,7059446-0,Gentry Cleaners Inc.,413869,7059446-0,
a9FDo000000ToLsMAK,8754259-0,Arbor Plumbing & Backflow,413863,8754259-0,
a9FDo000000ToLrMAK,8554455-0,Fess Fire Protection,413859,8554455-0,
a9FDo000000ToLqMAK,6179335-0,Green Dot Landscapes LLC,413854,6179335-0,
a9FDo000000ToLpMAK,6015301-0,Badger Daylighting,413852,6015301-0,
a9FDo000000ToLoMAK,8283431-0,K & S Custom LLC,413851,8283431-0,
a9FDo000000ToLnMAK,1073899-0,Heads Up Sprinkler Systems,413839,1073899-0,
a9FDo000000ToMGMA0,8834611-0,Casey's All Around Services,414006,8834611-0,
a9FDo000000ToMFMA0,4470343-0,Code Black Security & Protection Services,414003,4470343-0,
a9FDo000000ToMEMA0,6029380-0,Garcia Structures Group,413998,6029380-0,
a9FDo000000ToMDMA0,8299279-0,"KKJ Terrazzo Flooring, LLC",413982,8299279-0,
a9FDo000000ToMCMA0,5532673-0,Varmo Construction & Roofing,413959,5532673-0,
a9FDo000000ToMBMA0,6270518-0,Landestoy & Son Awning,413954,6270518-0,
a9FDo000000ToMAMA0,7787143-0,FASTSIGNS 2057,413952,7787143-0,
a9FDo000000ToM9MAK,8888166-0,Legacy Fence Contractors,413945,8888166-0,
a9FDo000000ToM8MAK,7878531-0,Complete Floor Solutions,413944,7878531-0,
a9FDo000000ToM7MAK,139394-0,TVS Construction Services LLC,413941,139394-0,
a9FDo000000ToM6MAK,8951071-0,Tompkins Paint & Handyman LLC,413932,8951071-0,
a9FDo000000ToM5MAK,8704741-0,SYCK Millworks,413931,8704741-0,
a9FDo000000ToM4MAK,8877736-0,M.A.M. Remodeling LLC,413925,8877736-0,
a9FDo000000ToM1MAK,8928621-0,Gutierrez Drywall LLC,413910,8928621-0,
a9FDo000000ToLmMAK,213425-0,"Cameron Cutting, Inc.",413832,213425-0,
a9FDo000000ToLlMAK,5850962-0,Remington Construction,413829,5850962-0,
a9FDo000000ToLkMAK,5993144-0,Redline Plumbing,413825,5993144-0,
a9FDo000000ToLjMAK,257475-0,"Mercury Masonry, Inc.",413822,257475-0,
a9FDo000000ToLiMAK,8792834-0,Leo Alexander Construction Inc.,413819,8792834-0,
a9FDo000000ToLhMAK,6504105-0,Metal Supermarkets,413816,6504105-0,
a9FDo000000ToLgMAK,6482273-0,"JCM Controls Systems, Inc.",413812,6482273-0,
a9FDo000000ToLfMAK,3440666-0,Global Roofing And Construction Inc.,413809,3440666-0,
a9FDo000000ToLeMAK,8607216-0,South River Landscapes LLC,413805,8607216-0,
a9FDo000000ToLdMAK,8636779-0,B&R Concrete & Masonry,413797,8636779-0,
a9FDo000000ToLcMAK,68449-0,"Ornametals, Inc.",413796,68449-0,
a9FDo000000ToLbMAK,7386392-0,"Lyon & Associates, Inc. dba Lyon Constru",413790,7386392-0,
a9FDo000000ToLaMAK,8611243-0,RC Engineering LLC,413788,8611243-0,
a9FDo000000ToLZMA0,1575635-0,Worldgate Plaster & Stucco Co.,413787,1575635-0,
a9FDo000000ToLYMA0,7056411-0,Capitol Maintenance Service,413785,7056411-0,
