Id,Name,breadwinner_ns__CompanyName__c,breadwinner_ns__InternalId__c,ncf_entity_eym_overdue_balance__c,breadwinner_ns__ExternalId__c,breadwinner_ns__Salesforce_Account__c
a9FDo000000TdoeMAC,D00116243,M&J GONCALVES INC,70254,,,
a9FDo000000TikAMAS,D00125513,M&J SOLUTIONS,152672,,,
a9FDo000000TkLsMAK,D00129504,M&M AMERICAN BUILDERS OF NH CO,181867,,,
a9FDo000000TialMAC,D00125024,"M&M BUILDERS, INC",148781,,,
a9FDo000000TmHFMA0,D00058351,M&M CARPETS,271774,,,
a9FDo000000TeCvMAK,D11232949,M&M EXCAVATING,84197,,,
a9FDo000000TV6dMAG,D00105810,M&M LAWN & IRRIGATION,28684,,,
a9FDo000000TeKXMA0,D00118502,M&M MANUFACTURING,86755,,,
a9FDo000000TaqWMAS,D00113967,M&M MANUFACTURING COMPANY,52045,,,
a9FDo000000TnF8MAK,D00139265,"M&M MANUFACTURING, INC.",321150,,,
a9FDo000000TnNyMAK,D00139915,"M&M MANUFACTURING, INC.",329622,,,
a9FDo000000TWAFMA4,D00112586,M&M UPHOLSTERY,32496,,,
a9FDo000000TV5dMAG,D00105712,M&N WALL SYSTEMS INC,28622,,,
a9FDo000000TlF8MAK,D00132383,M&P CONTRACTOR LLC,216999,,,
a9FDo000000TjZWMA0,D00128477,"M&R BECK AND ASSOCIATES, LLC D",171905,,,
a9FDo000000TiNDMA0,D00124287,M&R DISPOSAL INC,141881,,,
a9FDo000000TYVsMAO,D10752855,M&T BANK,41526,,,
a9FDo000000TkYNMA0,D00130139,M&T ENGINEERING AND CONSTRUCTI,189681,,,
a9FDo000000TegaMAC,D00119160,"M&T INSURANCE AGENCY , INC",90616,,,
a9FDo000000TeiyMAC,D00119301,M&W EQUIPMENT,92472,,,
a9FDo000000TW6uMAG,D00112263,M+W GROUP,32289,,,
a9FDo000000TeGJMA0,D00037962,M-3 CONSTRUCTION,85302,,,
a9FDo000000TjAXMA0,D00127022,M-A BUILDING AND MAINTENANCE,162834,,,
a9FDo000000TZhrMAG,W91046996,M-BOSS INC.,46113,,,
a9FDo000000TThMMAW,D00094845,M-III,23273,,,
a9FDo000000TgNcMAK,D00079962,M-KEANE EXCAVATING INC,108095,,,
a9FDo000000TfgLMAS,D10483980,M-L MASONRY INC.,105116,,,
a9FDo000000TVWvMAO,D00108599,M-PACT CORPORATION,30314,,,
a9FDo000000TibfMAC,D00125074,M-PAK CONSTRUCTION INC,149299,,,
a9FDo000000TVj2MAG,D00109742,M-R ELECTRIC,31065,,,
a9FDo000000Tf3fMAC,D00120398,"M. CIRINO CONSTRUCTION, LLC",101850,,,
a9FDo000000TT5AMAW,D00087993,"M. DALESANDRO, INC.",20905,,,
a9FDo000000Th07MAC,D00093036,M. F. I.,110744,,,
a9FDo000000TerHMAS,D00119739,"M. GOTTFRIED, INC.",95725,,,
a9FDo000000TbIVMA0,D10373801,M. MCMILLAN,53780,,,
a9FDo000000Teq7MAC,D00119684,M. S UNLIMITED INC,95342,,,
a9FDo000000TVLIMA4,D00107382,M. SILVESTRE CONTRACTING,29593,,,
a9FDo000000TgJ2MAK,D00075902,M. SMITH ROOFING LTD,107811,,,
a9FDo000000TSboMAG,D00077482,M. WILTON CONSTRUCTION,19085,,,
a9FDo000000Tg0oMAC,D10440303,M.A. FOX CO,106485,,,
a9FDo000000TYYGMA4,D10805208,"M.A.A.C., INC.",41674,,,
a9FDo000000TlKQMA0,D00132684,M.A.D MAN GENERAL CONTRACTING,220412,,,
a9FDo000000Ti3mMAC,D00123167,M.A.P. MECHANICAL,132984,,,
a9FDo000000TTvQMAW,D00096687,M.C. DEAN,24145,,,
a9FDo000000Ta6JMAS,D00098092,M.C. HEALTHCARE PRODUCTS INC.,48891,,,
a9FDo000000TkSaMAK,W52053602,"M.C.A. CLAY ROOF TILE, INC.",185839,,,
a9FDo000000TjoZMAS,D00129107,M.E.G.A. PRECAST,176697,,,
a9FDo000000TWOCMA4,D00113811,M.I.M INCORPORATED,33361,,,
a9FDo000000TVWnMAO,D00108588,"M.J. DEAN CONSTRUCTION, INC.",30306,,,
a9FDo000000TjSaMAK,D00128079,M.J. DESIGN AND BUILD INC,169649,,,
a9FDo000000ThNyMAK,D00121020,M.J. FITZGERALD AND SON CONTRA,116819,,,
a9FDo000000TUWvMAO,D00101796,M.J.A. CONSTRUCTION LLC,26470,,,
a9FDo000000ThsdMAC,D00122650,M.L. MCDONALD SALES COMPANY,129122,,,
a9FDo000000TeXNMA0,D00083949,M.LESLIE INC.,89870,,,
a9FDo000000TgesMAC,D00086590,M.NANN CONSTRUCTION LLC,109299,,,
a9FDo000000TjorMAC,D00129127,M.O. GENERAL CARPENTRY & PAINT,176715,,,
a9FDo000000Tb8bMAC,W61597001,M.P.C. CONTAINMENT SYSTEMS,53166,,,
a9FDo000000Tf88MAC,D00897033,"M.R. BRACEY CONSTR. CO., INC",102617,,,
a9FDo000000TTu2MAG,D00096526,M.R. MCINTOSH BUILDING & ROOFI,24059,,,
a9FDo000000TkAzMAK,152091,M.W. Steele Group,180459,,,
a9FDo000000TVFFMA4,D00106730,M2 CONSTRUCTION,29218,,,
a9FDo000000TUD9MAO,D00099053,M2 RENEWABLES,25244,,,
a9FDo000000TcsKMAS,A30032447,M2E CONSULTING,61368,,,
a9FDo000000TUR1MAO,D00101156,M2F ELECTRICAL CONTRACTING,26104,,,
a9FDo000000TQfSMAW,A30035314,M2M,11591,,,
a9FDo000000TSXEMA4,D00075597,M3 CONSTRUCTION SERVICES INC,18801,,,
a9FDo000000TT8NMAW,D00088982,M3 CONTAINERS,21104,,,
a9FDo000000TQjBMAW,A30035811,M3 CRANE,11822,,,
a9FDo000000TQX3MAO,A30033202,M3 ENGINEERING & TECHNOLOGY,11069,,,
a9FDo000000ThyiMAC,D00122999,M3 ENGINEERING & TECHNOLOGY CO,131764,,,
a9FDo000000TUZ7MAO,D00102036,M3 GENERAL CONSTRUCTION RESOUR,26606,,,
a9FDo000000Tl8NMAS,W91103268,M3 GLASS TECHNOLOGIES,213045,,,
a9FDo000000TWM2MAO,D00113633,M3 SERVICES,33227,,,
a9FDo000000TSgbMAG,D00079612,M3T LLC,19382,,,
a9FDo000000TeYRMA0,D00093123,MA CLAUDIA RAMIREZ C,89936,,,
a9FDo000000TiRaMAK,D00124494,MA DESIGN & CONSTRUCTION,144614,,,
a9FDo000000TbEDMA0,D00084049,MA GRANN ASSOC,53514,,,
a9FDo000000TbKQMA0,D11355906,MA GRANN ASSOC,53899,,,
a9FDo000000TPXGMA4,A30006476,MA INSTITUTE OF TECHNOLOGY,7498,,,
a9FDo000000TaeJMAS,D00077005,MA MORTENSON CO,51288,,,
a9FDo000000TcI2MAK,A30022395,MA MORTENSON COMPANY-CO,59117,,,
a9FDo000000Tc2yMAC,A30001266,MA WATER RESOURCES AUTHORITY,58183,,,
a9FDo000000Ta5NMAS,A30039854,MAADI GROUP INC,48833,,,
a9FDo000000TaBDMA0,W91084560,"MAADI GROUP, INC.",49195,,,
a9FDo000000ThndMAC,D00122368,"MAAMECH ENGINEERING SERVICES,",127172,,,
a9FDo000000Th9DMAS,D00098121,MAAS PAINT & PAPER,111397,,,
a9FDo000000TdceMAC,A30028632,MAASMEDIA INC,64326,,,
a9FDo000000TeWUMA0,D00070722,MAAX,89815,,,
a9FDo000000TbTgMAK,W13804151,MAAX,54566,,,
a9FDo000000Tb3ZMAS,D11416641,MAB PAINTS,52854,,,
a9FDo000000Tb51MAC,D11557741,MAB PAINTS,52944,,,
a9FDo000000Tb3cMAC,D11416674,MAB PAINTS,52857,,,
a9FDo000000Tb3bMAC,D11416666,MAB PAINTS,52856,,,
a9FDo000000Tb3aMAC,D11416658,MAB PAINTS,52855,,,
a9FDo000000TaJbMAK,W91054151,MABE,49807,,,
a9FDo000000Ta1hMAC,W91086678,MABEY,47343,,,
a9FDo000000TYLOMA4,D10544435,MABEY INC,40876,,,
a9FDo000000Tko9MAC,D00130960,MABEY INC,198939,,,
a9FDo000000TdNWMA0,A30031667,MABOLO NICHE CORPORATION,63302,,,
a9FDo000000TkqMMAS,D00131078,"MABRY LAND DEVELOPMENT, LLC",200458,,,
a9FDo000000TX4XMAW,D00540971,MABUS BROTHERS CONSTRUCTION CO,35986,,,
a9FDo000000TiAqMAK,D00123573,MAC ATHLETICS,136585,,,
a9FDo000000Tg66MAC,D10027035,"MAC BRADY ASSOCIATES, INC.",106814,,,
a9FDo000000ThuvMAC,D00122780,MAC BUILDERS & DESIGN,129943,,,
a9FDo000000TeIdMAK,D00118371,MAC CONSTRUCTION LA,85932,,,
a9FDo000000TVs6MAG,D00111087,MAC DRYWALL,31627,,,
a9FDo000000Tj5IMAS,D00126720,MAC ELECTRICAL AND HVAC SERVIC,161104,,,
a9FDo000000TfJ2MAK,D00814970,MAC KENZIE CO,103386,,,
a9FDo000000TlZlMAK,W91104755,"MAC MEDICAL, INC",243837,,,
a9FDo000000TlZkMAK,D00133521,"MAC MEDICAL, INC.",243836,,,
a9FDo000000Tbe7MAC,W44619600,MAC PLASTICS LTD.,55213,,,
a9FDo000000TUbjMAG,D00102306,MAC RESOURCES LLC,26768,,,
a9FDo000000TRuEMAW,D00058076,MAC SYSTEMS,16383,,,
a9FDo000000Ti6vMAC,D00123344,MAC WEBB CONSTRUCTION,134610,,,
a9FDo000000TVIJMA4,D00107047,MAC WRIGHT SUPPLY,29408,,,
a9FDo000000Tf9qMAC,D00634139,MAC'S CONST CO INC,102723,,,
a9FDo000000ThqmMAC,D00122547,MAC-CRETE INC,128511,,,
a9FDo000000TWZ1MAO,D00114780,MACA SECURITY,34032,,,
a9FDo000000TflPMAS,D00470369,MACADEE ELECTRICAL CONST.,105431,,,
a9FDo000000TPtbMAG,A30025686,MACALLISTER MACHINERY CO INC,8884,,,
a9FDo000000TkxvMAC,D00131479,MACALPIN COMPANY LLC,205717,,,
a9FDo000000Tk1wMAC,139696,"MacArthur Associated Consultants, LLC (MAC)",179881,,,
a9FDo000000TRHVMA4,A30038622,MACARTHUR TRANSIT COMMUNITY,13979,,,
a9FDo000000TXnKMAW,D01581974,MACBESTOS INC,38763,,,
a9FDo000000TWc0MAG,D00115040,MACCABEE INDUSTRIAL INC,34217,,,
a9FDo000000TYx5MAG,D11223047,MACCAFERRI GABIONS INC,43213,,,
a9FDo000000TPlgMAG,A30021459,MACCAFERRI INC,8392,,,
a9FDo000000ThjDMAS,D00122137,MACCLOUD,125831,,,
a9FDo000000TXiVMAW,D01447648,MACDONALD CONSTRUCTION CO,38464,,,
a9FDo000000TQE4MAO,A30028559,MACDONALD MILLER FACILITY SO,9891,,,
a9FDo000000TW42MAG,D00111985,MACDONALD PAINTING AND REMODEL,32111,,,
a9FDo000000TXsTMAW,D05080205,MACE IRON WORKS,39082,,,
a9FDo000000TS7zMAG,D00077713,MACFARLANE PAINTING INC,17236,,,
a9FDo000000TaHYMA0,A30035884,MACH AVIATION SERVICES LTD,49680,,,
a9FDo000000TaBkMAK,A30037649,MACH FLIGHT SUPPORT,49320,,,
a9FDo000000Ti9MMAS,D00123496,MACH GROUP INC,135769,,,
a9FDo000000TaCRMA0,A30036342,MACH MEDIA,49363,,,
a9FDo000000TSsZMAW,D00084321,MACHABEE OFFICE ENVIRONMENTS,20124,,,
a9FDo000000TmS2MAK,193467,Machi Mobility Consulting,283602,,,
a9FDo000000TPRNMA4,A00033420,MACHIDA INC-NY,7133,,,
a9FDo000000TYSuMAO,D10689032,MACHINE DRIVE COMPANY,41342,,,
a9FDo000000TfyPMAS,D01537828,MACHNIK BROS INC,106248,,,
a9FDo000000TcIRMA0,A30030934,MACHOL & JOHANNES LLC,59142,,,
a9FDo000000TbpGMAS,W21678703,MACHTLE GMBH,57013,,,
a9FDo000000TWRZMA4,D00114096,MACIA CONSTRUCTION,33570,,,
a9FDo000000TdEBMA0,A30027322,MACIA INSPECTION & TESTING L,62723,,,
a9FDo000000TcPRMA0,A30033825,MACK 5,59576,,,
a9FDo000000TWpZMAW,D00262774,MACK CONCRETE INDUSTRIES INC,35058,,,
a9FDo000000TSTcMAO,D00074090,MACK DAVIS CONSTRUCTION,18577,,,
a9FDo000000TdZ3MAK,A30022539,MACK INDUSTRIE,64103,,,
a9FDo000000Tg7iMAC,D00038188,MACK INDUSTRIES,107010,,,
a9FDo000000TirIMAS,D00125926,MACK'S PAINTING & RESTORATION,155734,,,
a9FDo000000TaGGMA0,A80006518,MACK-BROOKS EXHIBITION,49600,,,
a9FDo000000TcOQMA0,A30024288,MACK-CALI REALTY CORP,59513,,,
a9FDo000000TdJvMAK,A30028069,MACKAY  GRANT CO,63079,,,
a9FDo000000ThAMMA0,D00098761,MACKAY CONSTRUCTION SEVICES,111468,,,
a9FDo000000TbHIMA0,D05173638,MACKENZIE SERVICE CORP,53705,,,
a9FDo000000TmWVMA0,144993,Mackey Mitchell Architects,287077,,,
a9FDo000000TWrOMAW,D00298455,MACKEY PLUMBING,35171,,,
a9FDo000000TQxvMAG,A30037081,MACLEAN POWER SYSTEMS,12765,,,
a9FDo000000TZwoMAG,W91082200,MACLEAN POWER SYSTEMS,47040,,,
